runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,17890,17.47,0
1,Script,77,589314,575.5,0
1,Stylesheet,6,74101,72.36,0
1,Font,2,45526,44.46,0
1,Other,6,42492,41.5,0
1,Fetch,8,108449,105.91,0
1,XHR,1,424,0.41,0
1,Ping,2,8619,8.42,0
1,Preflight,2,0,0,0
2,Document,2,17838,17.42,0
2,Stylesheet,6,74043,72.31,0
2,Script,77,589224,575.41,0
2,Font,2,45526,44.46,0
2,Other,6,42514,41.52,0
2,Fetch,7,108192,105.66,0
2,XHR,1,424,0.41,0
2,Ping,2,8610,8.41,0
2,Preflight,1,0,0,0
3,Document,2,17749,17.33,0
3,Stylesheet,6,74051,72.32,0
3,Script,77,589286,575.47,0
3,Font,2,45524,44.46,0
3,Other,6,42501,41.5,0
3,Fetch,8,108453,105.91,0
3,XHR,1,424,0.41,0
3,Ping,2,8612,8.41,0
3,Preflight,2,0,0,0
4,Document,2,17815,17.4,0
4,Stylesheet,6,74091,72.35,0
4,Script,77,589344,575.53,0
4,Font,2,45526,44.46,0
4,Other,6,42498,41.5,0
4,Fetch,7,108187,105.65,0
4,XHR,1,424,0.41,0
4,Ping,2,8616,8.41,0
4,Preflight,1,0,0,0
5,Document,2,17757,17.34,0
5,Stylesheet,6,74104,72.37,0
5,Script,77,589245,575.43,0
5,Font,2,45526,44.46,0
5,Other,6,42497,41.5,0
5,Fetch,8,108450,105.91,0
5,XHR,1,424,0.41,0
5,Ping,2,8617,8.42,0
5,Preflight,2,0,0,0
6,Document,2,17783,17.37,0
6,Stylesheet,6,74093,72.36,0
6,Script,77,589250,575.44,0
6,Font,2,45524,44.46,0
6,Other,6,42498,41.5,0
6,Fetch,7,108190,105.65,0
6,XHR,1,424,0.41,0
6,Ping,2,8616,8.41,0
6,Preflight,1,0,0,0
7,Document,2,17751,17.33,0
7,Stylesheet,6,74098,72.36,0
7,Script,77,589342,575.53,0
7,Font,2,45526,44.46,0
7,Other,6,42504,41.51,0
7,Fetch,8,108443,105.9,0
7,XHR,1,424,0.41,0
7,Ping,2,8622,8.42,0
7,Preflight,2,0,0,0
8,Document,2,17757,17.34,0
8,Script,77,589211,575.4,0
8,Stylesheet,6,74096,72.36,0
8,Font,2,45526,44.46,0
8,Other,6,42507,41.51,0
8,Fetch,7,108186,105.65,0
8,XHR,1,424,0.41,0
8,Ping,2,8622,8.42,0
8,Preflight,1,0,0,0
9,Document,2,17764,17.35,0
9,Stylesheet,6,74091,72.35,0
9,Script,77,589245,575.43,0
9,Font,2,45526,44.46,0
9,Other,6,42496,41.5,0
9,Fetch,7,108197,105.66,0
9,XHR,1,424,0.41,0
9,Ping,2,8615,8.41,0
9,Preflight,1,0,0,0
10,Document,2,17841,17.42,0
10,Stylesheet,6,74094,72.36,0
10,Script,77,589319,575.51,0
10,Font,2,45526,44.46,0
10,Other,6,42500,41.5,0
10,Fetch,7,108184,105.65,0
10,XHR,1,424,0.41,0
10,Ping,2,8617,8.42,0
10,Preflight,1,0,0,0
11,Document,2,17819,17.4,0
11,Stylesheet,6,74145,72.41,0
11,Script,77,589181,575.37,0
11,Font,2,45526,44.46,0
11,Other,6,42492,41.5,0
11,Fetch,7,108182,105.65,0
11,XHR,1,424,0.41,0
11,Ping,2,8608,8.41,0
11,Preflight,1,0,0,0
12,Document,2,17769,17.35,0
12,Stylesheet,6,74093,72.36,0
12,Script,77,589247,575.44,0
12,Font,2,45526,44.46,0
12,Other,6,42498,41.5,0
12,Fetch,8,108451,105.91,0
12,XHR,1,424,0.41,0
12,Ping,2,8618,8.42,0
12,Preflight,2,0,0,0
13,Document,2,17755,17.34,0
13,Stylesheet,6,74093,72.36,0
13,Script,77,589297,575.49,0
13,Font,2,45526,44.46,0
13,Other,6,42498,41.5,0
13,Fetch,7,108191,105.66,0
13,XHR,1,424,0.41,0
13,Ping,2,8620,8.42,0
13,Preflight,1,0,0,0
14,Document,2,17773,17.36,0
14,Stylesheet,6,74145,72.41,0
14,Script,77,589258,575.45,0
14,Font,2,45526,44.46,0
14,Other,6,42498,41.5,0
14,Fetch,7,108192,105.66,0
14,XHR,1,424,0.41,0
14,Ping,2,8620,8.42,0
14,Preflight,1,0,0,0
15,Document,2,17795,17.38,0
15,Stylesheet,6,74086,72.35,0
15,Script,77,589227,575.42,0
15,Font,2,45526,44.46,0
15,Other,6,42500,41.5,0
15,Fetch,7,108192,105.66,0
15,XHR,1,424,0.41,0
15,Ping,2,8608,8.41,0
15,Preflight,1,0,0,0
16,Document,2,17758,17.34,0
16,Stylesheet,6,74094,72.36,0
16,Script,77,589301,575.49,0
16,Font,2,45526,44.46,0
16,Other,6,42498,41.5,0
16,Fetch,8,108441,105.9,0
16,XHR,1,424,0.41,0
16,Ping,2,8612,8.41,0
16,Preflight,2,0,0,0
17,Document,2,17795,17.38,0
17,Stylesheet,6,74056,72.32,0
17,Script,77,589288,575.48,0
17,Font,2,45526,44.46,0
17,Other,6,42500,41.5,0
17,Fetch,8,108445,105.9,0
17,XHR,1,424,0.41,0
17,Ping,2,8619,8.42,0
17,Preflight,2,0,0,0
18,Document,2,17760,17.34,0
18,Stylesheet,6,74153,72.42,0
18,Script,77,589271,575.46,0
18,Font,2,45526,44.46,0
18,Other,6,42506,41.51,0
18,Fetch,7,108200,105.66,0
18,XHR,1,424,0.41,0
18,Ping,2,8613,8.41,0
18,Preflight,1,0,0,0
19,Document,2,17794,17.38,0
19,Stylesheet,6,74147,72.41,0
19,Script,77,589313,575.5,0
19,Font,2,45524,44.46,0
19,Other,6,42495,41.5,0
19,Fetch,7,108197,105.66,0
19,XHR,1,424,0.41,0
19,Ping,2,8622,8.42,0
19,Preflight,1,0,0,0
20,Document,2,17774,17.36,0
20,Stylesheet,6,74124,72.39,0
20,Script,77,589277,575.47,0
20,Font,2,45526,44.46,0
20,Other,6,42497,41.5,0
20,Fetch,7,108196,105.66,0
20,XHR,1,424,0.41,0
20,Ping,2,8616,8.41,0
20,Preflight,1,0,0,0
21,Document,2,17763,17.35,0
21,Stylesheet,6,74060,72.32,0
21,Script,77,589231,575.42,0
21,Font,2,45526,44.46,0
21,Other,6,42506,41.51,0
21,Fetch,7,108195,105.66,0
21,XHR,1,424,0.41,0
21,Ping,2,8613,8.41,0
21,Preflight,1,0,0,0
22,Document,2,17755,17.34,0
