scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,1,2026-04-01T07:17:00.400Z,4867,1039.7999999821186,,374.90000000596046,1656.2999999821186,1036.199999988079,1668.0999999940395,0,33.69999998807907,119.90000000596046,73.2000000178814,13235,40145,12935,11.03,19.55,117.84,347.54,19.4,866.03,886815,106,17.47,2,575.5,77,106.32,9,72.36,6,85.96,8,80,346.139,560.822,568.056,0,0.4664657738095238,342,97.86699999999999
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,2,2026-04-01T07:17:07.077Z,4537,915,,112.2999999821186,1520.0999999940395,911.5,1531.800000011921,0,105.19999998807907,104.10000002384186,55.5,13231,40141,12931,12.82,18.8,122.31,357.7,20.77,865.6,886371,104,17.42,2,575.41,77,106.07,8,72.31,6,85.98,8,100,167.532,167.532,211.531,0,0.00396577380952381,163,96.03500000000001
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,3,2026-04-01T07:17:13.935Z,4704,926.7000000178814,,101.89999997615814,1535,922.9000000059605,1547.2000000178814,0,39.30000001192093,197.59999999403954,148,13231,40141,12931,10.25,19.8,124.27,344.72,19.46,865.82,886600,106,17.33,2,575.47,77,106.33,9,72.32,6,85.96,8,100,162.313,162.313,264.627,0,0.00396577380952381,160,88.503
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,4,2026-04-01T07:17:20.721Z,4648,953.2000000178814,,95.90000000596046,1567.300000011921,926.0999999940395,1579.2000000178814,0,53.099999994039536,157.40000000596046,117.5,13233,40143,12933,12.81,19.05,121.23,361.41,19.95,865.72,886501,104,17.4,2,575.53,77,106.07,8,72.35,6,85.96,8,80,200.841,235.887,243.072,0,0.4664657738095238,195,124.886
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,5,2026-04-01T07:17:27.501Z,4638,829.0999999940395,,102.59999999403954,1438.4000000059605,825.7999999821186,1449.699999988079,0,37.599999994039536,94.5,48.30000001192093,13235,40145,12935,10.16,19.55,119,347.98,19.86,865.84,886620,106,17.34,2,575.43,77,106.32,9,72.37,6,85.96,8,100,172.208,172.208,246.845,0,0.00396577380952381,168,98.83
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,6,2026-04-01T07:17:33.936Z,4303,776.2000000178814,,134.09999999403954,1383.5,772.9000000059605,1394.7000000178814,0,47,93.09999999403954,48.69999998807907,13233,40143,12933,11.73,19.3,117.84,342.54,20.37,865.6,886378,104,17.37,2,575.44,77,106.07,8,72.36,6,85.96,8,100,164.252,164.252,837.814,6.370999999999981,0.00396577380952381,156,80.633
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,7,2026-04-01T07:17:42.142Z,6068,867.8999999761581,,87.2000000178814,1474.0999999940395,865.0999999940395,1485.7999999821186,0,32,149.59999999403954,50,13235,40145,12935,10.16,19.55,124.46,353.4,19.92,865.93,886710,106,17.33,2,575.53,77,106.32,9,72.36,6,85.97,8,100,186.16,186.16,238.493,0,0.00396577380952381,184,110.77900000000001
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,8,2026-04-01T07:17:48.510Z,4226,734.1000000238419,,101.19999998807907,1342.6000000238419,731.1000000238419,1353.9000000059605,0,32.89999997615814,82.80000001192093,40.900000005960464,13235,40145,12935,11.75,19.3,118.42,337.24,19.7,865.56,886329,104,17.34,2,575.4,77,106.06,8,72.36,6,85.97,8,100,199.092,199.092,241.99,0,0.00396577380952381,191,122.422
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,9,2026-04-01T07:17:55.212Z,4569,881.5,,108.10000002384186,1478.4000000059605,868.9000000059605,1490.2000000178814,0,39.60000002384186,95.2999999821186,52.900000005960464,13233,40143,12933,11.1,19.3,120.51,348.16,20.45,865.58,886358,104,17.35,2,575.43,77,106.08,8,72.35,6,85.96,8,100,390.554,390.554,449.075,0,0.00396577380952381,387,290.49
baseline2,Legacy (Baseline 2),4g,4G (Mobil),true,10,2026-04-01T07:18:01.804Z,4454,793.5999999940395,,88.90000000596046,1392.5,790.5999999940395,1404.5,0,36.5,99.90000000596046,58.400000005960464,13233,40143,12933,12.8,19.05,116.71,330.59,19.54,865.73,886505,104,17.42,2,575.51,77,106.06,8,72.36,6,85.96,8,100,159.066,159.066,201.291,0,0.00396577380952381,155,83.527
