runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T07:39:10.761Z,865.9,104,17.37,575.72,106.06,72.37,85.96,1371,38.19,96,2,94,38.19,17.31,1.78,19.09,0,0,108.2999999821186,191.90000000596046,13248,2.1,95.6
2,2026-04-01T07:39:19.047Z,865.98,104,17.36,575.78,106.05,72.4,85.97,1219,38.2,96,2,94,38.2,17.33,1.78,19.09,0,0,76.2999999821186,212.59999999403954,13248,2.1,95.6
3,2026-04-01T07:39:27.061Z,865.83,104,17.38,575.66,106.05,72.36,85.97,1191,38.15,96,2,94,38.15,17.28,1.78,19.09,0,0,99.59999999403954,184,13246,2.1,95.6
4,2026-04-01T07:39:35.177Z,865.78,104,17.36,575.64,106.06,72.35,85.96,1189,39.56,96,2,94,39.56,17.32,3.15,19.09,0,0,72.10000002384186,179.59999999403954,13248,2.1,95.4
5,2026-04-01T07:39:43.653Z,865.8,104,17.35,575.7,106.05,72.32,85.97,1173,38.17,96,2,94,38.17,17.29,1.78,19.09,0,0,81.2999999821186,165.09999999403954,13246,2.1,95.6
6,2026-04-01T07:39:51.851Z,865.88,104,17.39,575.7,106.06,72.35,85.97,1177,38.18,96,2,94,38.18,17.3,1.78,19.1,0,0,86.2000000178814,169.59999999403954,13250,2.1,95.6
7,2026-04-01T07:40:00.228Z,865.84,104,17.37,575.69,106.05,72.35,85.97,1194,38.2,96,2,94,38.2,17.32,1.78,19.09,0,0,102.09999999403954,186,13246,2.1,95.6
8,2026-04-01T07:40:08.424Z,865.8,104,17.36,575.66,106.04,72.36,85.97,1240,38.88,96,2,94,38.88,17.33,2.47,19.09,0,0,120.5,233.2999999821186,13248,2.1,95.5
9,2026-04-01T07:40:16.783Z,865.91,104,17.37,575.7,106.06,72.39,85.97,1255,38.17,96,2,94,38.17,17.28,1.78,19.1,0,0,164.89999997615814,247.10000002384186,13248,2.1,95.6
10,2026-04-01T07:40:24.957Z,866,104,17.45,575.74,106.06,72.37,85.97,1175,38.19,96,2,94,38.19,17.31,1.78,19.09,0,0,82.69999998807907,166.19999998807907,13250,2.1,95.6
11,2026-04-01T07:40:33.127Z,865.87,104,17.38,575.73,106.06,72.32,85.96,1161,38.18,96,2,94,38.18,17.29,1.78,19.1,0,0,71.40000000596046,154.39999997615814,13250,2.1,95.6
12,2026-04-01T07:40:41.414Z,865.82,104,17.37,575.66,106.05,72.36,85.97,1263,38.18,96,2,94,38.18,17.31,1.78,19.09,0,0,74.30000001192093,155.90000000596046,13246,2.1,95.6
13,2026-04-01T07:40:49.608Z,865.83,104,17.34,575.67,106.06,72.37,85.97,1188,38.27,96,2,94,38.27,17.39,1.78,19.1,0,0,93.7000000178814,179.80000001192093,13246,2.1,95.6
14,2026-04-01T07:40:57.959Z,865.94,104,17.44,575.68,106.05,72.41,85.96,1183,38.22,96,2,94,38.22,17.35,1.78,19.09,0,0,87.59999999403954,168.59999999403954,13246,2.1,95.6
15,2026-04-01T07:41:08.029Z,866.21,105,17.39,575.73,106.31,72.41,85.96,2884,47.54,99,2,97,47.54,17.3,2.47,19.35,0,0,75.60000002384186,184.40000000596046,13250,2,94.5
16,2026-04-01T07:41:16.635Z,865.85,104,17.34,575.7,106.07,72.36,85.97,1208,38.17,96,2,94,38.17,17.29,1.78,19.09,0,0,114.59999999403954,199.90000000596046,13250,2.1,95.6
17,2026-04-01T07:41:24.967Z,865.9,104,17.38,575.69,106.06,72.4,85.96,1281,38.86,96,2,94,38.86,17.29,2.47,19.1,0,0,162.90000000596046,274,13248,2.1,95.5
18,2026-04-01T07:41:33.253Z,865.93,104,17.4,575.69,106.08,72.37,85.97,1265,38.22,96,2,94,38.22,17.29,1.81,19.12,0,0,76.5,159.30000001192093,13246,2.1,95.6
19,2026-04-01T07:41:41.546Z,865.97,104,17.37,575.75,106.09,72.37,85.96,1188,38.91,96,2,94,38.91,17.3,2.49,19.12,0,0,75.80000001192093,181,13246,2.1,95.5
20,2026-04-01T07:41:49.998Z,865.91,104,17.36,575.75,106.11,72.32,85.97,1316,38.22,96,2,94,38.22,17.28,1.81,19.13,0,0,222.30000001192093,306.2999999821186,13248,2.1,95.6
21,2026-04-01T07:41:58.401Z,865.97,104,17.47,575.7,106.08,72.35,85.96,1297,38.23,96,2,94,38.23,17.3,1.81,19.12,0,0,80.69999998807907,162.5,13248,2.1,95.6
