runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,19017,18.57,0
1,Script,76,580107,566.51,0
1,Stylesheet,4,62681,61.21,0
1,Font,2,45640,44.57,0
1,Other,4,32658,31.89,0
1,Image,1,1048,1.02,0
1,Fetch,7,108187,105.65,0
1,XHR,1,425,0.42,0
1,Ping,2,8616,8.41,0
1,Preflight,1,0,0,0
2,Document,2,18860,18.42,0
2,Script,76,580066,566.47,0
2,Stylesheet,4,62686,61.22,0
2,Font,2,45640,44.57,0
2,Other,4,32667,31.9,0
2,Image,1,1048,1.02,0
2,Fetch,8,108459,105.92,0
2,XHR,1,425,0.42,0
2,Ping,2,8609,8.41,0
2,Preflight,2,0,0,0
3,Document,2,18852,18.41,0
3,Script,76,580135,566.54,0
3,Stylesheet,4,62718,61.25,0
3,Font,2,45640,44.57,0
3,Other,4,32667,31.9,0
3,Image,1,1048,1.02,0
3,Fetch,7,108190,105.65,0
3,XHR,1,425,0.42,0
3,Ping,2,8614,8.41,0
3,Preflight,1,0,0,0
4,Document,2,18864,18.42,0
4,Script,76,580078,566.48,0
4,Stylesheet,4,62673,61.2,0
4,Font,2,45639,44.57,0
4,Other,4,32661,31.9,0
4,Image,1,1048,1.02,0
4,Fetch,7,108195,105.66,0
4,XHR,1,425,0.42,0
4,Ping,2,8616,8.41,0
4,Preflight,1,0,0,0
5,Document,2,18851,18.41,0
5,Script,76,580116,566.52,0
5,Stylesheet,4,62676,61.21,0
5,Font,2,45640,44.57,0
5,Other,4,32668,31.9,0
5,Image,1,1048,1.02,0
5,Fetch,7,108199,105.66,0
5,XHR,1,425,0.42,0
5,Ping,2,8615,8.41,0
5,Preflight,1,0,0,0
6,Document,2,18856,18.41,0
6,Script,76,580083,566.49,0
6,Stylesheet,4,62701,61.23,0
6,Font,2,45639,44.57,0
6,Other,4,32669,31.9,0
6,Image,1,1048,1.02,0
6,Fetch,8,108448,105.91,0
6,XHR,1,425,0.42,0
6,Ping,2,8616,8.41,0
6,Preflight,2,0,0,0
7,Document,2,18843,18.4,0
7,Script,76,580099,566.5,0
7,Stylesheet,4,62700,61.23,0
7,Font,2,45640,44.57,0
7,Other,4,32658,31.89,0
7,Image,1,1048,1.02,0
7,Fetch,7,108190,105.65,0
7,XHR,1,425,0.42,0
7,Ping,2,8615,8.41,0
7,Preflight,1,0,0,0
8,Document,2,18907,18.46,0
8,Script,76,580097,566.5,0
8,Stylesheet,4,62679,61.21,0
8,Font,2,45640,44.57,0
8,Other,4,32667,31.9,0
8,Image,1,1048,1.02,0
8,Fetch,7,108250,105.71,0
8,XHR,1,425,0.42,0
8,Ping,2,8617,8.42,0
8,Preflight,1,0,0,0
9,Document,2,18853,18.41,0
9,Script,76,580046,566.45,0
9,Stylesheet,4,62708,61.24,0
9,Font,2,45640,44.57,0
9,Other,4,32665,31.9,0
9,Image,1,1048,1.02,0
9,Fetch,7,108182,105.65,0
9,XHR,1,425,0.42,0
9,Ping,2,8608,8.41,0
9,Preflight,1,0,0,0
10,Document,2,18968,18.52,0
10,Script,76,580115,566.52,0
10,Stylesheet,4,62692,61.22,0
10,Font,2,45640,44.57,0
10,Other,4,32667,31.9,0
10,Image,1,1048,1.02,0
10,Fetch,8,108455,105.91,0
10,XHR,1,425,0.42,0
10,Ping,2,8619,8.42,0
10,Preflight,2,0,0,0
11,Document,2,18927,18.48,0
11,Script,76,580118,566.52,0
11,Stylesheet,4,62675,61.21,0
11,Font,2,45640,44.57,0
11,Other,4,32669,31.9,0
11,Image,1,1048,1.02,0
11,Fetch,8,108456,105.91,0
11,XHR,1,425,0.42,0
11,Ping,2,8616,8.41,0
11,Preflight,2,0,0,0
12,Document,2,18886,18.44,0
12,Script,76,580135,566.54,0
12,Stylesheet,4,62703,61.23,0
12,Font,2,45639,44.57,0
12,Other,4,32659,31.89,0
12,Image,1,1048,1.02,0
12,Fetch,7,108196,105.66,0
12,XHR,1,425,0.42,0
12,Ping,2,8610,8.41,0
12,Preflight,1,0,0,0
13,Document,2,18933,18.49,0
13,Script,76,580136,566.54,0
13,Stylesheet,4,62672,61.2,0
13,Font,2,45640,44.57,0
