scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,1,2026-04-01T06:45:20.225Z,4618,956.0999999940395,,258.80000001192093,1568.699999988079,926.5999999940395,1575,0,33.099999994039536,161.2000000178814,105.59999999403954,14461,46646,14161,10.1,19.3,121.86,336.86,20.13,838.26,858379,100,18.57,2,566.51,76,106.07,8,61.21,4,77.49,7,100,614.289,614.289,864.759,0,0,605,308.058
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,2,2026-04-01T06:45:27.070Z,4705,922.5,,288.19999998807907,1529.800000011921,917.5999999940395,1536.0999999940395,0,39.5,98.19999998807907,52.5,14457,46644,14157,10.08,19.05,124.55,333.82,20.12,838.34,858460,102,18.42,2,566.47,76,106.33,9,61.22,4,77.5,7,100,302.683,302.683,412.023,0,0,296,209.593
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,3,2026-04-01T06:45:33.787Z,4572,971.4000000059605,,345.80000001192093,1582,966.5,1588.5999999940395,0,35.80000001192093,91.7999999821186,49.099999994039536,14452,46642,14152,10.14,19.3,117.82,327.19,18.41,838.17,858289,100,18.41,2,566.54,76,106.07,8,61.25,4,77.5,7,100,286.992,286.992,390.315,0,0,281,196.326
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,4,2026-04-01T06:45:40.335Z,4417,795.9000000059605,,219.10000002384186,1413.300000011921,791,1419.699999988079,0,34.099999994039536,92.5,51.599999994039536,14455,46642,14155,10.12,19.05,120.02,334.16,20.28,838.08,858199,100,18.42,2,566.48,76,106.07,8,61.2,4,77.49,7,100,286.437,302.4,932.463,6.1299999999999955,0.00782967032967033,284,195.606
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,5,2026-04-01T06:45:48.022Z,5545,1932.0999999940395,,255.40000000596046,2532.7000000178814,1927.2000000178814,2538.5,0,80.5,90,46.29999998211861,14451,46642,14151,10.05,19.3,112.57,321.63,20.49,838.12,858238,100,18.41,2,566.52,76,106.08,8,61.21,4,77.5,7,100,274.739,274.739,314.586,0,0,269,184.81
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,6,2026-04-01T06:45:58.114Z,7961,4181.4000000059605,,3518.300000011921,4792.9000000059605,4151.5999999940395,4799.0999999940395,0,37.79999998211861,95.7000000178814,49.599999994039536,14456,46642,14156,12.37,18.8,124.31,338.31,20.37,838.36,858485,102,18.41,2,566.49,76,106.32,9,61.23,4,77.5,7,100,262.769,262.769,302.638,0,0,257,172.56199999999998
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,7,2026-04-01T06:46:04.886Z,4637,1018.7999999821186,,287.30000001192093,1626.699999988079,1014,1633.0999999940395,0,113.90000000596046,119,60.60000002384186,14452,46642,14152,10.12,19.3,116.35,327.14,17.07,838.1,858218,100,18.4,2,566.5,76,106.07,8,61.23,4,77.49,7,100,431.172,431.172,467.763,0,0,427,331.594
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,8,2026-04-01T06:46:11.543Z,4519,979.2000000178814,,245.5,1585.0999999940395,974.5,1591.300000011921,0,32.19999998807907,182.2000000178814,53.5,14459,46644,14159,10.13,19.3,119.35,333.5,18.33,838.21,858330,100,18.46,2,566.5,76,106.13,8,61.21,4,77.5,7,100,253.22,253.22,292.466,0,0,242,165.317
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,9,2026-04-01T06:46:18.119Z,4420,944.4000000059605,,265.2000000178814,1555.300000011921,939.5,1561.800000011921,0,33.599999994039536,99.90000000596046,51.599999994039536,14453,46642,14153,11.08,19.05,126.99,341.03,20.04,838.06,858175,100,18.41,2,566.45,76,106.06,8,61.24,4,77.49,7,100,241.234,241.234,402.717,0,0,232,161.586
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,10,2026-04-01T06:46:25.178Z,4910,1119.5,,264.09999999403954,1727.2000000178814,1114.300000011921,1733.800000011921,0,40,83.80000001192093,42.80000001192093,14461,46644,14161,10.09,19.05,128.94,342,20.97,838.5,858629,102,18.52,2,566.52,76,106.33,9,61.22,4,77.5,7,100,265.199,265.199,325.949,0,0,256,174.434
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,11,2026-04-01T06:46:32.254Z,4932,896.5,,269.7000000178814,1506.7999999821186,891,1513.2999999821186,0,34.19999998807907,87.09999999403954,46.29999998211861,14456,46644,14156,9.99,19.05,126.89,353.94,21.46,838.45,858574,102,18.48,2,566.52,76,106.33,9,61.21,4,77.5,7,100,309.222,355.503,405.453,0,0.00782967032967033,308,222.614
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,12,2026-04-01T06:46:38.962Z,4560,949.1000000238419,,222.2000000178814,1565.9000000059605,944.2000000178814,1572,0,93,103.69999998807907,56.69999998807907,14457,46644,14157,10.11,19.05,122.08,331.09,20.09,838.18,858301,100,18.44,2,566.54,76,106.08,8,61.23,4,77.49,7,100,291.215,291.215,398.834,0,0,283,201.434
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,13,2026-04-01T06:46:45.696Z,4599,1062.5,,245.19999998807907,1671.2000000178814,1057.2000000178814,1677.1000000238419,0,38.60000002384186,259,134.7000000178814,14453,46642,14153,11.08,19.05,114.43,318.87,18.33,838.23,858343,100,18.49,2,566.54,76,106.09,8,61.2,4,77.5,7,100,346.993,346.993,459.156,0,0,336,254.53400000000002
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,14,2026-04-01T06:46:52.521Z,4687,1217,,241.30000001192093,1824.1000000238419,1211.800000011921,1830.6000000238419,0,31.400000005960464,91.59999999403954,45.79999998211861,14457,46644,14157,10.14,18.8,128.17,351.74,20.43,838.27,858387,100,18.49,2,566.58,76,106.07,8,61.21,4,77.5,7,100,300.391,300.391,1026.8449999694824,1.3789999694823791,0,293,210.259
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,15,2026-04-01T06:46:59.109Z,4452,870,,239.7000000178814,1486.7999999821186,864.7999999821186,1493.4000000059605,0,35.5,104.19999998807907,55.5,14452,46642,14152,10.06,19.05,119.59,339.47,20.22,838.16,858276,100,18.5,2,566.47,76,106.08,8,61.2,4,77.5,7,100,401.405,401.405,457.357,0,0,397,307.886
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,16,2026-04-01T06:47:06.976Z,5719,2126.9000000059605,,290.30000001192093,2740.9000000059605,2121.7999999821186,2747.7999999821186,0,66.59999999403954,96.69999998807907,49.400000005960464,14458,46644,14158,10.01,19.05,130.99,347.86,21.33,838.18,858298,100,18.45,2,566.5,76,106.09,8,61.23,4,77.5,7,100,249.514,249.514,288.792,0,0,244,166.038
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,17,2026-04-01T06:47:13.746Z,4632,933.0999999940395,,296.09999999403954,1547.4000000059605,927.8000000119209,1554,0,61.099999994039536,101.60000002384186,57.70000001788139,14459,46642,14159,10.11,19.05,120.59,338.23,20.76,838.2,858321,100,18.51,2,566.48,76,106.07,8,61.23,4,77.49,7,100,282.597,282.597,322.255,0,0,274,192.27100000000002
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,18,2026-04-01T06:47:20.262Z,4382,871.3000000119209,,209,1468.800000011921,866.0999999940395,1475.300000011921,0,33.20000001788139,92.39999997615814,41.89999997615814,14452,46644,14152,11.07,18.8,118.11,329.69,20.03,838.21,858326,100,18.51,2,566.5,76,106.07,8,61.22,4,77.5,7,100,277.619,277.619,314.429,0,0,271,184.686
baseline,Legacy (Baseline 1),4g,4G (Mobil),true,19,2026-04-01T06:47:27.080Z,4673,994.5,,365.2000000178814,1593.2999999821186,989.2999999821186,1599.5999999940395,0,41.39999997615814,82.30000001192093,44.599999994039536,14458,46646,14158,10.12,19.3,108.44,325.8,17.98,838.16,858275,100,18.43,2,566.55,76,106.07,8,61.21,4,77.49,7,100,237.534,237.534,450.208,0,0,229,157.944
