runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T07:07:58.349Z,838.03,100,18.51,566.52,106.06,61.13,77.38,1250,39.36,94,2,92,39.36,18.48,1.79,19.09,0,0,160.5,242.40000000596046,14452,2.1,95.3
2,2026-04-01T07:08:06.828Z,837.96,100,18.42,566.49,106.07,61.18,77.39,1371,39.86,94,2,92,39.86,18.42,2.33,19.11,0,0,185.59999999403954,362.09999999403954,14452,2.1,95.2
3,2026-04-01T07:08:15.247Z,837.99,100,18.45,566.51,106.07,61.18,77.38,1319,39.31,94,2,92,39.31,18.43,1.79,19.1,0,0,228.39999997615814,311.09999999403954,14445,2.1,95.3
4,2026-04-01T07:08:23.676Z,838.02,100,18.48,566.54,106.07,61.13,77.38,1306,40.05,94,2,92,40.05,18.47,2.48,19.1,0,0,182.5,298,14446,2.1,95.2
5,2026-04-01T07:08:32.235Z,838.28,101,18.43,566.48,106.32,61.25,77.38,1257,39.35,94,2,92,39.35,18.45,1.79,19.11,0,0,167,248.7000000178814,14449,2.1,95.3
6,2026-04-01T07:08:40.608Z,837.97,100,18.43,566.54,106.07,61.13,77.38,1297,39.39,94,2,92,39.39,18.5,1.79,19.1,0,0,205.60000002384186,288.19999998807907,14454,2.1,95.3
7,2026-04-01T07:08:49.476Z,838.3,101,18.51,566.51,106.32,61.18,77.38,1298,39.34,94,2,92,39.34,18.44,1.79,19.1,0,0,211.69999998807907,292.09999999403954,14452,2.1,95.3
8,2026-04-01T07:09:07.252Z,842.05,100,18.49,566.53,105.81,61.23,77.39,1500,41.4,94,2,92,41.4,18.46,3.84,19.1,0,0,387.30000001192093,492.59999999403954,14455,2.1,95.1
9,2026-04-01T07:09:15.543Z,838,100,18.4,566.55,106.06,61.18,77.38,1327,39.32,94,2,92,39.32,18.42,1.79,19.1,0,0,236.30000001192093,318.7000000178814,14455,2.1,95.3
10,2026-04-01T07:09:23.802Z,837.96,100,18.44,566.52,106.08,61.13,77.38,1253,39.38,94,2,92,39.38,18.48,1.79,19.11,0,0,166.19999998807907,245.90000000596046,14456,2.1,95.3
11,2026-04-01T07:09:32.107Z,837.98,100,18.43,566.49,106.07,61.19,77.39,1239,39.4,94,2,92,39.4,18.5,1.79,19.1,0,0,147.19999998807907,230.09999999403954,14455,2.1,95.3
12,2026-04-01T07:09:40.335Z,837.97,100,18.5,566.46,106.08,61.13,77.38,1281,39.31,94,2,92,39.31,18.42,1.79,19.1,0,0,190.90000000596046,274.19999998807907,14450,2.1,95.3
13,2026-04-01T07:09:58.009Z,841.93,100,18.44,566.46,105.81,61.24,77.38,1307,39.35,94,2,92,39.35,18.46,1.79,19.1,0,0,214.5,298.89999997615814,14454,2.1,95.3
14,2026-04-01T07:10:16.655Z,842.28,102,18.42,566.52,106.09,61.23,77.39,1280,39.34,94,2,92,39.34,18.44,1.79,19.11,0,0,189.2999999821186,273.09999999403954,14450,2.1,95.3
