Profil,ProfilKey,Metrik,Einheit,Hypothese,Kestrel-Kit (Prototyp) n,Kestrel-Kit (Prototyp) Median,Kestrel-Kit (Prototyp) IQR,Kestrel-Kit (Prototyp) Mean,Kestrel-Kit (Prototyp) SD,Kestrel-Kit (Prototyp) Min,Kestrel-Kit (Prototyp) Max,Kestrel-Kit (Prototyp) CV%,Legacy (Baseline 1) n,Legacy (Baseline 1) Median,Legacy (Baseline 1) IQR,Legacy (Baseline 1) Mean,Legacy (Baseline 1) SD,Legacy (Baseline 1) Min,Legacy (Baseline 1) Max,Legacy (Baseline 1) CV%,Legacy (Baseline 2) n,Legacy (Baseline 2) Median,Legacy (Baseline 2) IQR,Legacy (Baseline 2) Mean,Legacy (Baseline 2) SD,Legacy (Baseline 2) Min,Legacy (Baseline 2) Max,Legacy (Baseline 2) CV%
4G (Mobil),4g,First Contentful Paint,ms,H1/H2,50,99.7,66.56,155.31,125.05,94.1,732.37,80.5,50,286.71,67.85,301.08,64.59,237.53,614.29,21.5,50,166.27,36.37,193.27,63.29,149.66,446.41,32.7
4G (Mobil),4g,Largest Contentful Paint,ms,H1,50,99.7,66.56,155.31,125.05,94.1,732.37,80.5,50,290.92,75.24,304.43,65.21,237.53,614.29,21.4,50,168.95,44.78,202.2,79.31,154.69,560.82,39.2
4G (Mobil),4g,Time to Interactive,ms,H2,50,104.97,66.07,171.15,145.25,98.24,732.37,84.9,50,382.8,87.05,420.12,173.99,278.57,1047.55,41.4,50,242.95,78.09,292.89,137.25,195.25,837.81,46.9
4G (Mobil),4g,Total Blocking Time,ms,H2,50,0.0,0.0,0.14,1.02,0.0,7.18,707.1,50,0.0,0.0,0.21,0.98,0.0,6.13,459.3,50,0.0,0.0,0.28,1.4,0.0,7.68,497.1
4G (Mobil),4g,Cumulative Layout Shift,,H1,50,0.0,0.0,0.0,0.0,0.0,0.0,,50,0.0,0.0,0.0,0.0,0.0,0.01,303.0,50,0.0,0.0,0.05,0.14,0.0,0.47,279.1
4G (Mobil),4g,Speed Index,ms,H1,50,47.0,9.0,69.28,99.55,42.0,620.0,143.7,50,282.5,71.0,293.9,64.92,229.0,605.0,22.1,50,160.5,35.0,188.02,63.06,144.0,436.0,33.5
4G (Mobil),4g,JS-Ausführungszeit,ms,H2,50,143.14,8.4,143.09,6.81,128.96,160.53,4.8,50,119.34,5.12,119.6,4.57,108.44,130.99,3.8,50,121.58,6.03,122.18,4.41,113.69,135.73,3.6
4G (Mobil),4g,JS Heap (Used),MB,H2,50,13.32,0.26,13.32,0.36,12.45,15.25,2.7,50,10.11,0.05,10.28,0.46,9.95,12.37,4.5,50,11.75,1.76,11.75,1.04,10.15,12.85,8.8
4G (Mobil),4g,Payload (gesamt),KB,H1,50,1155.2,105.88,1184.71,87.07,1087.9,1477.19,7.3,50,838.2,0.1,838.22,0.1,838.06,838.5,0.0,50,865.68,0.23,865.72,0.13,865.54,866.03,0.0
4G (Mobil),4g,HTTP-Requests,,H1,50,131.0,5.0,130.56,4.17,123.0,142.0,3.2,50,100.0,0.0,100.32,0.74,100.0,102.0,0.7,50,104.0,2.0,104.56,0.91,104.0,106.0,0.9
4G (Mobil),4g,HTML-Dokument,KB,H1,50,14.98,0.06,14.99,0.04,14.93,15.08,0.2,50,18.44,0.08,18.46,0.04,18.39,18.57,0.2,50,17.36,0.05,17.37,0.03,17.32,17.47,0.2
4G (Mobil),4g,JS-Payload,KB,H2,50,755.4,0.09,755.41,0.08,755.24,755.66,0.0,50,566.52,0.05,566.52,0.04,566.43,566.61,0.0,50,575.47,0.06,575.47,0.04,575.37,575.56,0.0
4G (Mobil),4g,API-Payload (Fetch+XHR),KB,H1,50,236.68,0.5,236.22,1.68,230.47,237.46,0.7,50,106.08,0.02,106.12,0.09,106.06,106.33,0.1,50,106.07,0.25,106.14,0.11,106.06,106.33,0.1
4G (Mobil),4g,CSS-Payload,KB,H1,50,25.89,0.01,25.89,0.01,25.88,25.91,0.0,50,61.22,0.02,61.22,0.01,61.2,61.25,0.0,50,72.36,0.02,72.36,0.03,72.31,72.42,0.0
4G (Mobil),4g,Statische Assets,KB,H1,50,122.27,105.38,152.21,86.47,61.13,444.6,56.8,50,77.5,0.01,77.5,0.01,77.49,77.5,0.0,50,85.96,0.01,85.96,0.01,85.95,85.98,0.0
4G (Mobil),4g,Time to First Byte,ms,H1,50,227.85,85.35,244.39,121.94,101.1,804.2,49.9,50,243.25,63.08,341.28,471.9,197.3,3518.3,138.3,50,100.75,17.88,112.49,51.01,75.1,374.9,45.3
4G (Mobil),4g,DOMContentLoaded,ms,H2,50,1524.95,137.57,1572.3,161.52,1402.3,2332.6,10.3,50,1556.85,80.58,1684.14,512.07,1383.8,4792.9,30.4,50,1492.95,87.8,1492.38,71.1,1342.6,1656.3,4.8
4G (Mobil),4g,DOM Interactive,ms,H2,50,913.5,150.28,967.61,181.74,802.1,1887.9,18.8,50,939.75,83.27,1067.67,507.95,770.3,4151.6,47.6,50,873.6,81.05,876.61,67.83,731.1,1036.2,7.7
4G (Mobil),4g,Lighthouse Score,,H1,50,100.0,0.0,99.98,0.14,99.0,100.0,0.1,50,100.0,0.0,100.0,0.0,100.0,100.0,0.0,50,100.0,0.0,98.0,6.06,80.0,100.0,6.2
