runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,15393,15.03,0
1,Stylesheet,4,26523,25.9,0
1,Script,100,773503,755.37,0
1,Font,2,45640,44.57,0
1,Fetch,11,240700,235.06,0
1,Other,2,10486,10.24,0
1,Image,8,95713,93.47,0
1,XHR,2,2177,2.13,0
1,Preflight,1,0,0,0
2,Document,2,15447,15.08,0
2,Stylesheet,4,26518,25.9,0
2,Script,100,773515,755.39,0
2,Font,2,45640,44.57,0
2,Fetch,11,239779,234.16,0
2,Other,2,10486,10.24,0
2,Image,8,66414,64.86,0
2,XHR,2,2131,2.08,0
2,Preflight,1,0,0,0
3,Document,2,15344,14.98,0
3,Stylesheet,4,26513,25.89,0
3,Script,100,773480,755.35,0
3,Font,2,45583,44.51,0
3,Fetch,10,234171,228.68,0
3,Other,2,10488,10.24,0
3,Image,1,6533,6.38,0
3,XHR,2,2131,2.08,0
4,Document,2,15318,14.96,0
4,Stylesheet,4,26512,25.89,0
4,Script,100,773583,755.45,0
4,Font,2,45583,44.51,0
4,Fetch,10,233866,228.38,0
4,Other,2,10483,10.24,0
4,Image,1,6529,6.38,0
4,XHR,2,2131,2.08,0
5,Document,2,15415,15.05,0
5,Stylesheet,4,26504,25.88,0
5,Script,100,773491,755.36,0
5,Font,2,45640,44.57,0
5,Fetch,11,240330,234.7,0
5,Other,2,10485,10.24,0
5,Image,9,82192,80.27,0
5,XHR,2,2153,2.1,0
5,Preflight,1,0,0,0
6,Document,2,15300,14.94,0
6,Stylesheet,4,26509,25.89,0
6,Script,100,773523,755.39,0
6,Font,2,45640,44.57,0
6,Fetch,11,240116,234.49,0
6,Other,2,10486,10.24,0
6,Image,4,51841,50.63,0
6,XHR,2,2131,2.08,0
6,Preflight,1,0,0,0
7,Document,2,15396,15.04,0
7,Stylesheet,4,26497,25.88,0
7,Script,100,773431,755.3,0
7,Font,2,45640,44.57,0
7,Fetch,11,240406,234.77,0
7,Other,2,10485,10.24,0
7,Image,5,30022,29.32,0
7,XHR,2,2131,2.08,0
7,Preflight,1,0,0,0
8,Document,2,15336,14.98,0
8,Stylesheet,4,26510,25.89,0
8,Script,100,773398,755.27,0
8,Font,2,45640,44.57,0
8,Fetch,11,240633,234.99,0
8,Other,2,10491,10.25,0
8,Image,6,48594,47.46,0
8,XHR,2,2177,2.13,0
8,Preflight,1,0,0,0
9,Document,2,15328,14.97,0
9,Stylesheet,4,26496,25.88,0
9,Script,100,773606,755.47,0
9,Font,2,45526,44.46,0
9,Fetch,11,239815,234.19,0
9,Other,2,10487,10.24,0
9,Image,9,399258,389.9,0
9,XHR,2,2131,2.08,0
9,Preflight,1,0,0,0
10,Document,2,15396,15.04,0
10,Stylesheet,4,26509,25.89,0
10,Script,100,773437,755.31,0
10,Font,2,45583,44.51,0
10,Fetch,11,239651,234.03,0
10,Other,2,10424,10.18,0
10,Image,2,27940,27.29,0
10,XHR,2,2131,2.08,0
10,Preflight,1,0,0,0
11,Document,2,15332,14.97,0
11,Stylesheet,4,26501,25.88,0
11,Script,100,773534,755.4,0
11,Font,2,45583,44.51,0
11,Fetch,11,240086,234.46,0
11,Other,2,10488,10.24,0
