Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 2),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
4G (Mobil),4g,prototype_vs_baseline2,First Contentful Paint,H1/H2,99.7,166.27,-66.58,-40.0,549.5,0.000001,Ja,0.56,groß,-74.65,-10.23,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Largest Contentful Paint,H1,99.7,168.95,-69.26,-41.0,525.5,0.000001,Ja,0.58,groß,-86.54,-11.9,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Time to Interactive,H2,104.97,242.95,-137.98,-56.8,255.0,0.000000,Ja,0.796,groß,-157.53,-76.3,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Total Blocking Time,H2,0.0,0.0,0.0,,1225.0,0.567642,Nein,0.02,vernachlässigbar,0.0,0.0,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Cumulative Layout Shift,H1,0.0,0.0,-0.0,-100.0,0.0,0.000000,Ja,1.0,groß,-0.0,-0.0,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Speed Index,H1,47.0,160.5,-113.5,-70.7,100.0,0.000000,Ja,0.92,groß,-123.5,-109.5,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,JS-Ausführungszeit,H2,143.14,121.58,21.55,17.7,2490.0,0.000000,Ja,-0.992,groß,17.67,24.23,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,JS Heap (Used),H2,13.32,11.75,1.57,13.3,2459.5,0.000000,Ja,-0.968,groß,0.51,1.61,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Payload (gesamt),H1,1155.2,865.68,289.53,33.4,2500.0,0.000000,Ja,-1.0,groß,275.06,322.04,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,HTTP-Requests,H1,131.0,104.0,27.0,26.0,2500.0,0.000000,Ja,-1.0,groß,26.0,28.0,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,HTML-Dokument,H1,14.98,17.36,-2.38,-13.7,0.0,0.000000,Ja,1.0,groß,-2.4,-2.36,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,JS-Payload,H2,755.4,575.47,179.93,31.3,2500.0,0.000000,Ja,-1.0,groß,179.9,179.95,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,API-Payload (Fetch+XHR),H1,236.68,106.07,130.61,123.1,2500.0,0.000000,Ja,-1.0,groß,130.44,130.74,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,CSS-Payload,H1,25.89,72.36,-46.47,-64.2,0.0,0.000000,Ja,1.0,groß,-46.48,-46.47,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Statische Assets,H1,122.27,85.96,36.31,42.2,2000.0,0.000000,Ja,-0.6,groß,21.41,68.81,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Time to First Byte,H1,227.85,100.75,127.1,126.2,2350.0,0.000000,Ja,-0.88,groß,95.1,140.7,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,DOMContentLoaded,H2,1524.95,1492.95,32.0,2.1,1606.5,0.014119,Ja,-0.285,klein,-8.1,82.1,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,DOM Interactive,H2,913.5,873.6,39.9,4.6,1625.0,0.009830,Ja,-0.3,mittel,-8.6,69.95,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Lighthouse Score,H1,100.0,100.0,0.0,0.0,1352.5,0.087465,Nein,-0.082,vernachlässigbar,0.0,0.0,Legacy (Baseline 2)
