Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 2),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
4G (Mobil),4g,prototype_vs_baseline2,Warm-Cache Payload (gesamt),H1,107.54,38.24,69.3,181.2,2297.0,0.000000,Ja,-0.838,groß,54.3,84.8,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Warm-Cache Netzwerk-Payload,H1,107.54,38.24,69.3,181.2,2297.0,0.000000,Ja,-0.838,groß,54.3,84.8,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Warm-Cache Requests (gesamt),H1,125.5,96.0,29.5,30.7,2500.0,0.000000,Ja,-1.0,groß,29.0,30.0,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Warm-Cache Netzwerk-Requests,H1,119.5,94.0,25.5,27.1,2500.0,0.000000,Ja,-1.0,groß,25.0,26.0,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Gecachte Requests,H1,6.0,2.0,4.0,200.0,2500.0,0.000000,Ja,-1.0,groß,4.0,4.0,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Cache-Hit-Rate,H1,4.8,2.1,2.7,128.6,2500.0,0.000000,Ja,-1.0,groß,2.7,2.7,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Payload-Reduktion (Cold→Warm),H1,90.65,95.6,-4.95,-5.2,497.0,0.000000,Ja,0.602,groß,-6.4,-2.75,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Warm-Cache Navigationszeit,H1,2405.0,1195.5,1209.5,101.2,2451.5,0.000000,Ja,-0.961,groß,1055.0,1648.5,Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Warm-Cache TTFB,H1,0.1,84.75,-84.65,-99.9,0.0,0.000000,Ja,1.0,groß,-92.55,-79.9,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Warm-Cache DOMContentLoaded,H2,67.45,183.45,-116.0,-63.2,69.0,0.000000,Ja,0.945,groß,-120.7,-91.9,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Warm HTML-Dokument,H1,0.4,17.3,-16.9,-97.7,0.0,0.000000,Ja,1.0,groß,-16.91,-16.89,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Warm JS-Payload,H2,0.68,1.81,-1.13,-62.4,323.0,0.000000,Ja,0.742,groß,-1.81,-1.12,Kestrel-Kit (Prototyp)
4G (Mobil),4g,prototype_vs_baseline2,Warm API-Payload,H1,16.8,19.12,-2.32,-12.1,0.0,0.000000,Ja,1.0,groß,-2.37,-2.25,Kestrel-Kit (Prototyp)
