runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T06:35:37.097Z,1264.79,135,14.98,755.38,236.75,25.88,231.79,3196,163.43,128,6,122,163.43,0.4,0,16.83,0,146.2,0,58.19999998807907,0,4.7,87.1
2,2026-04-01T06:35:47.802Z,1395.4,145,15,755.4,236.87,25.89,362.24,2157,68.76,126,6,120,68.76,0.47,0,17.05,0,51.23,0.09999999403953552,65.09999999403954,0,4.8,95.1
3,2026-04-01T06:35:59.912Z,1156.86,133,14.99,755.4,236.54,25.9,124.02,3211,156.86,130,6,124,156.86,0.47,0,17.19,0,139.21,0.09999999403953552,65.5,0,4.6,86.4
4,2026-04-01T06:36:11.309Z,1428.17,140,14.98,755.49,237.27,25.9,394.54,3358,54.6,123,6,117,54.6,0.47,0,16.67,0,37.46,0.10000002384185791,65.5,0,4.9,96.2
5,2026-04-01T06:36:21.728Z,1132.72,128,14.96,755.38,236.96,25.89,99.53,2667,159.48,131,6,125,159.48,0.47,0,17.24,0,141.77,0,67.2999999821186,0,4.6,85.9
6,2026-04-01T06:36:33.289Z,1125.8,126,14.98,755.52,236.18,25.88,93.24,3478,99.65,124,6,118,99.65,0.4,0.68,16.56,0,82.01,0,178,0,4.8,91.1
7,2026-04-01T06:36:46.267Z,1088.35,123,15.02,755.52,230.72,25.9,61.19,4187,12.07,119,6,113,12.07,0.47,0.68,10.92,0,0,0,104,0,5,98.9
8,2026-04-01T06:36:58.625Z,1360.11,136,14.96,755.36,237.07,25.89,326.84,2805,162.47,123,6,117,162.47,0.4,0.68,17.28,0,144.1,0,98,0,4.9,88.1
9,2026-04-01T06:37:09.931Z,1123.58,129,14.93,755.45,237.12,25.9,90.17,3285,122,125,6,119,122,0.4,0,16.78,0,104.82,0.09999999403953552,68,0,4.8,89.1
10,2026-04-01T06:37:20.514Z,1313.46,143,14.97,755.59,237.19,25.9,279.81,2381,292.59,127,6,121,292.59,0.4,0,17.19,0,275,0.10000002384185791,58.29999998211861,0,4.7,77.7
