Profil,ProfilKey,Metrik,Einheit,Hypothese,Kestrel-Kit (Prototyp) n,Kestrel-Kit (Prototyp) Median,Kestrel-Kit (Prototyp) IQR,Kestrel-Kit (Prototyp) Mean,Kestrel-Kit (Prototyp) SD,Kestrel-Kit (Prototyp) Min,Kestrel-Kit (Prototyp) Max,Kestrel-Kit (Prototyp) CV%,Legacy (Baseline 1) n,Legacy (Baseline 1) Median,Legacy (Baseline 1) IQR,Legacy (Baseline 1) Mean,Legacy (Baseline 1) SD,Legacy (Baseline 1) Min,Legacy (Baseline 1) Max,Legacy (Baseline 1) CV%,Legacy (Baseline 2) n,Legacy (Baseline 2) Median,Legacy (Baseline 2) IQR,Legacy (Baseline 2) Mean,Legacy (Baseline 2) SD,Legacy (Baseline 2) Min,Legacy (Baseline 2) Max,Legacy (Baseline 2) CV%
4G (Mobil),4g,Warm-Cache Payload (gesamt),KB,H1,50,107.54,88.27,117.46,71.49,11.32,345.92,60.9,50,39.4,0.69,39.79,0.59,39.31,41.4,1.5,50,38.24,0.66,38.74,1.41,38.15,47.54,3.6
4G (Mobil),4g,Warm-Cache Netzwerk-Payload,KB,H1,50,107.54,88.27,117.46,71.49,11.32,345.92,60.9,50,39.4,0.69,39.79,0.59,39.31,41.4,1.5,50,38.24,0.66,38.74,1.41,38.15,47.54,3.6
4G (Mobil),4g,Warm-Cache Requests (gesamt),,H1,50,125.5,3.0,125.56,3.31,119.0,136.0,2.6,50,94.0,0.0,94.0,0.0,94.0,94.0,0.0,50,96.0,0.0,96.06,0.42,96.0,99.0,0.4
4G (Mobil),4g,Warm-Cache Netzwerk-Requests,,H1,50,119.5,3.0,119.56,3.31,113.0,130.0,2.8,50,92.0,0.0,92.0,0.0,92.0,92.0,0.0,50,94.0,0.0,94.06,0.42,94.0,97.0,0.5
4G (Mobil),4g,Gecachte Requests,,H1,50,6.0,0.0,6.0,0.0,6.0,6.0,0.0,50,2.0,0.0,2.0,0.0,2.0,2.0,0.0,50,2.0,0.0,2.0,0.0,2.0,2.0,0.0
4G (Mobil),4g,Cache-Hit-Rate,%,H1,50,4.8,0.1,4.78,0.13,4.4,5.0,2.6,50,2.1,0.0,2.1,0.0,2.1,2.1,0.0,50,2.1,0.0,2.1,0.01,2.0,2.1,0.7
4G (Mobil),4g,Payload-Reduktion (Cold→Warm),%,H1,50,90.65,7.08,90.3,5.74,74.1,99.0,6.4,50,95.3,0.1,95.25,0.06,95.1,95.3,0.1,50,95.6,0.1,95.53,0.17,94.5,95.6,0.2
4G (Mobil),4g,Warm-Cache Navigationszeit,ms,H1,50,2405.0,1013.0,2650.56,777.14,1401.0,4760.0,29.3,50,1300.5,72.0,1324.12,71.61,1239.0,1610.0,5.4,50,1195.5,95.5,1281.78,264.04,1153.0,2884.0,20.6
4G (Mobil),4g,Warm-Cache TTFB,ms,H1,50,0.1,0.1,0.05,0.05,0.0,0.2,100.5,50,186.5,37.9,206.56,65.94,147.2,523.4,31.9,50,84.75,25.5,101.5,44.68,71.4,308.5,44.0
4G (Mobil),4g,Warm-Cache DOMContentLoaded,ms,H2,50,67.45,29.5,85.34,44.7,49.7,352.0,52.4,50,291.4,55.9,311.16,72.81,230.1,644.7,23.4,50,183.45,43.53,198.88,49.6,145.4,391.9,24.9
4G (Mobil),4g,Warm HTML-Dokument,KB,H1,50,0.4,0.07,0.42,0.03,0.4,0.47,7.8,50,18.45,0.04,18.45,0.03,18.41,18.51,0.1,50,17.3,0.03,17.31,0.03,17.27,17.39,0.2
4G (Mobil),4g,Warm JS-Payload,KB,H2,50,0.68,1.38,0.8,0.87,0.0,3.42,109.4,50,1.79,0.69,2.24,0.59,1.79,3.84,26.3,50,1.81,0.68,2.14,0.61,1.78,4.55,28.3
4G (Mobil),4g,Warm API-Payload,KB,H1,50,16.8,0.35,16.5,1.42,10.92,17.47,8.6,50,19.1,0.01,19.1,0.01,19.09,19.11,0.0,50,19.12,0.02,19.12,0.04,19.09,19.35,0.2
