runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,17837,17.42,0
1,Script,77,589235,575.42,0
1,Stylesheet,6,74115,72.38,0
1,Font,2,45583,44.51,0
1,Other,6,42485,41.49,0
1,Fetch,7,108200,105.66,0
1,XHR,1,424,0.41,0
1,Ping,2,8618,8.42,0
1,Preflight,1,0,0,0
2,Document,2,17777,17.36,0
2,Script,77,589321,575.51,0
2,Stylesheet,6,74094,72.36,0
2,Font,2,45582,44.51,0
2,Other,6,42484,41.49,0
2,Fetch,6,107940,105.41,0
2,XHR,1,423,0.41,0
3,Document,2,17773,17.36,0
3,Script,77,589380,575.57,0
3,Stylesheet,6,74094,72.36,0
3,Font,2,45583,44.51,0
3,Other,6,42496,41.5,0
3,Fetch,6,107925,105.4,0
3,XHR,1,423,0.41,0
4,Document,2,17755,17.34,0
4,Stylesheet,6,74136,72.4,0
4,Script,77,589336,575.52,0
4,Font,2,45581,44.51,0
4,Other,6,42490,41.49,0
4,Fetch,6,107922,105.39,0
4,XHR,1,423,0.41,0
5,Document,2,17750,17.33,0
5,Script,77,589333,575.52,0
5,Stylesheet,6,74124,72.39,0
5,Font,2,45583,44.51,0
5,Other,6,42506,41.51,0
5,Fetch,6,107934,105.4,0
5,XHR,1,423,0.41,0
6,Document,2,17755,17.34,0
6,Script,77,589335,575.52,0
6,Stylesheet,6,74081,72.34,0
6,Font,2,45640,44.57,0
6,Other,6,42494,41.5,0
6,Fetch,7,108183,105.65,0
6,XHR,1,423,0.41,0
6,Ping,2,8614,8.41,0
6,Preflight,1,0,0,0
7,Document,2,17859,17.44,0
7,Script,77,589418,575.6,0
7,Stylesheet,6,74101,72.36,0
7,Font,2,45640,44.57,0
7,Other,6,42500,41.5,0
7,Fetch,7,108188,105.65,0
7,XHR,1,423,0.41,0
7,Ping,2,8616,8.41,0
7,Preflight,1,0,0,0
8,Document,2,17745,17.33,0
8,Script,77,589370,575.56,0
8,Stylesheet,6,74101,72.36,0
8,Font,2,45640,44.57,0
8,Other,6,42503,41.51,0
8,Fetch,7,108184,105.65,0
8,XHR,1,423,0.41,0
8,Ping,2,8612,8.41,0
8,Preflight,1,0,0,0
9,Document,2,17765,17.35,0
9,Script,77,589354,575.54,0
9,Stylesheet,6,74178,72.44,0
9,Font,2,45640,44.57,0
9,Other,6,42491,41.5,0
9,Fetch,6,107936,105.41,0
9,XHR,1,423,0.41,0
10,Document,2,17787,17.37,0
10,Script,77,589320,575.51,0
10,Stylesheet,6,74177,72.44,0
10,Font,2,45583,44.51,0
10,Other,6,42485,41.49,0
10,Fetch,6,107941,105.41,0
10,XHR,1,423,0.41,0
11,Document,2,17842,17.42,0
11,Stylesheet,6,74171,72.43,0
11,Script,77,589307,575.5,0
11,Font,2,45640,44.57,0
11,Other,6,42498,41.5,0
11,Fetch,6,107928,105.4,0
11,XHR,1,423,0.41,0
12,Document,2,17835,17.42,0
12,Script,77,589330,575.52,0
12,Stylesheet,6,74131,72.39,0
12,Font,2,45583,44.51,0
12,Other,6,42489,41.49,0
12,Fetch,6,107932,105.4,0
12,XHR,1,424,0.41,0
13,Document,2,17758,17.34,0
13,Stylesheet,6,74130,72.39,0
13,Script,77,589384,575.57,0
13,Font,2,45583,44.51,0
13,Other,6,42492,41.5,0
13,Fetch,6,107936,105.41,0
13,XHR,1,424,0.41,0
14,Document,2,17793,17.38,0
14,Script,77,589361,575.55,0
14,Stylesheet,6,74144,72.41,0
14,Font,2,45640,44.57,0
14,Other,6,42483,41.49,0
14,Fetch,6,107930,105.4,0
14,XHR,1,423,0.41,0
15,Document,2,17756,17.34,0
15,Script,77,589385,575.57,0
15,Stylesheet,6,74170,72.43,0
15,Font,2,45640,44.57,0
15,Other,6,42495,41.5,0
15,Fetch,7,108179,105.64,0
15,XHR,1,424,0.41,0
15,Ping,2,8618,8.42,0
15,Preflight,1,0,0,0
16,Document,2,17855,17.44,0
16,Script,77,589363,575.55,0
16,Stylesheet,6,74171,72.43,0
16,Font,2,45640,44.57,0
16,Other,6,42497,41.5,0
16,Fetch,6,107926,105.4,0
16,XHR,1,424,0.41,0
17,Document,2,17763,17.35,0
17,Stylesheet,6,74094,72.36,0
17,Script,77,589358,575.54,0
17,Font,2,45640,44.57,0
17,Other,6,42493,41.5,0
17,Fetch,7,108238,105.7,0
17,XHR,1,424,0.41,0
17,Ping,2,8615,8.41,0
17,Preflight,1,0,0,0
18,Document,2,17838,17.42,0
18,Script,77,589336,575.52,0
18,Stylesheet,6,74127,72.39,0
18,Font,2,45640,44.57,0
18,Other,6,42494,41.5,0
18,Fetch,6,107934,105.4,0
18,XHR,1,423,0.41,0
19,Document,2,17745,17.33,0
19,Stylesheet,6,74090,72.35,0
19,Script,77,589335,575.52,0
19,Font,2,45583,44.51,0
19,Other,6,42499,41.5,0
19,Fetch,6,107929,105.4,0
