scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,1,2026-04-01T05:44:36.988Z,3850,802.3000000119209,,104.5,1132.9000000059605,799.4000000059605,1146.800000011921,0,69.39999997615814,90.40000000596046,47.79999998211861,13233,40143,12933,12.77,19.3,96.84,291.51,19.39,865.72,886497,104,17.42,2,575.42,77,106.08,8,72.38,6,86,8,80,441.086,585.602,589.965,0,0.4664657738095238,443,177.40099999999998
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,2,2026-04-01T05:44:41.623Z,2496,813.4000000059605,,92.09999999403954,1035,810,1042.9000000059605,0,33.30000001192093,191,129.10000002384186,13235,40145,12935,11.63,19.05,75.55,261.6,19.84,857.05,877621,100,17.36,2,575.51,77,105.82,7,72.36,6,86,8,100,178.264,178.264,219.379,0,0.00396577380952381,171,97.846
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,3,2026-04-01T05:44:46.233Z,2472,714.0999999940395,,144.5,1002.4000000059605,711.1999999880791,1011.5,0,33.400000005960464,94.09999999403954,49.30000001192093,13233,40143,12933,11.62,19.05,81.39,259.33,19.6,857.1,877674,100,17.36,2,575.57,77,105.81,7,72.36,6,86.01,8,100,170.007,170.007,209.951,0,0.00396577380952381,164,89.212
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,4,2026-04-01T05:44:51.458Z,3071,839.5999999940395,,187.89999997615814,1645.5999999940395,836.8000000119209,1662.800000011921,0,33.599999994039536,145.59999999403954,89.7999999821186,13233,40143,12933,10.3,19.3,98.72,298.37,19.23,857.07,877643,100,17.34,2,575.52,77,105.81,7,72.4,6,86.01,8,100,392.483,392.483,586.751,0,0.00396577380952381,383,298.747
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,5,2026-04-01T05:44:56.755Z,3138,804.0999999940395,,142.10000002384186,1713.5,800.6999999880791,1727.5,0,36.69999998807907,97.59999999403954,52.19999998807907,13231,40141,12931,10.46,19.3,83.59,285.29,19.6,857.08,877653,100,17.33,2,575.52,77,105.82,7,72.39,6,86.02,8,100,184.804,184.804,223.761,0,0.00396577380952381,180,104.71100000000001
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,6,2026-04-01T05:45:03.821Z,4932,1833,,95.5,2108.7000000178814,1830.0999999940395,2117.300000011921,0,1066.4000000059605,134.5,50.80000001192093,13233,40143,12933,12.72,19.3,100.83,292.56,19.23,865.75,886525,104,17.34,2,575.52,77,106.06,8,72.34,6,86.07,8,100,170.131,170.131,211.648,0,0.00396577380952381,165,95.799
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,7,2026-04-01T05:45:10.053Z,4087,893.1999999880791,,114.2000000178814,1212,890,1221.5999999940395,0,119.69999998807907,97.40000000596046,52.5,13233,40143,12933,12.81,19.05,102.29,298.87,20.23,865.96,886745,104,17.44,2,575.6,77,106.07,8,72.36,6,86.07,8,100,175.891,175.891,229.976,0,0.00396577380952381,169,104.91000000000001
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,8,2026-04-01T05:45:16.118Z,3935,843.9000000059605,,97.40000000596046,1121.0999999940395,841.1999999880791,1130.4000000059605,0,39.80000001192093,163.09999999403954,52.400000005960464,13233,40143,12933,12.74,19.3,98.97,295.36,19.46,865.8,886578,104,17.33,2,575.56,77,106.06,8,72.36,6,86.08,8,100,177.325,177.325,219.258,0,0.00396577380952381,167,101.108
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,9,2026-04-01T05:45:20.787Z,2532,776.6999999880791,,98.2000000178814,1111.5,749.2999999821186,1125,0,42.39999997615814,87.2000000178814,45,13235,40145,12935,11.57,19.3,79.1,266.4,19.79,857.21,877787,100,17.35,2,575.54,77,105.82,7,72.44,6,86.07,8,100,173.904,173.904,875.927,8.601999999999975,0.00396577380952381,170,99.089
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,10,2026-04-01T05:45:25.299Z,2381,705.6999999880791,,92.5,986.1999999880791,701.8999999761581,996.0999999940395,0,41.5,93.59999999403954,45.80000001192093,13235,40145,12935,11.65,19.05,79.03,249.2,19.93,857.14,877716,100,17.37,2,575.51,77,105.82,7,72.44,6,86,8,100,166.172,166.172,221.513,0,0.00396577380952381,161,95.523
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,11,2026-04-01T05:45:29.982Z,2543,839.8999999761581,,80.40000000596046,1198.699999988079,837,1214.7999999821186,0,107.89999997615814,90.2000000178814,45.5,13233,40143,12933,11.54,19.05,79.21,257.16,19.84,857.24,877809,100,17.42,2,575.5,77,105.81,7,72.43,6,86.07,8,100,220.178,220.178,272.17,0,0.00396577380952381,211,141.868
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,12,2026-04-01T05:45:34.572Z,2440,767.0999999940395,,98.19999998807907,961.2999999821186,763.7999999821186,969.7999999821186,0,38,145.89999997615814,49.79999998211861,13235,40145,12935,10.59,19.55,75.51,254.76,19.79,857.15,877724,100,17.42,2,575.52,77,105.82,7,72.39,6,86.01,8,100,178.106,178.106,219.469,0,0.00396577380952381,171,106.179
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,13,2026-04-01T05:45:39.165Z,2452,716.6000000238419,,133,990.2000000178814,714.1000000238419,999.4000000059605,0,46.20000001788139,94.5,51.30000001192093,13231,40141,12931,11.62,18.8,80.84,263.16,19.98,857.14,877707,100,17.34,2,575.57,77,105.82,7,72.39,6,86.01,8,100,169.163,169.163,209.529,0,0.00396577380952381,164,99.073
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,14,2026-04-01T05:45:43.777Z,2457,734.7000000178814,,90,1037.9000000059605,721.5,1052.9000000059605,0,33,103.09999999403954,56.29999998211861,13235,40145,12935,11.58,19.05,84.65,274.89,20.15,857.2,877774,100,17.38,2,575.55,77,105.81,7,72.41,6,86.06,8,100,573.166,573.166,664.252,0,0.00396577380952381,569,477.787
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,15,2026-04-01T05:45:49.671Z,3759,749.5999999940395,,97.09999999403954,940.5999999940395,736.1999999880791,949.4000000059605,0,34.19999998807907,116.59999999403954,60.29999998211861,13235,40145,12935,12.76,19.05,100.11,293.97,20.54,865.89,886667,104,17.34,2,575.57,77,106.06,8,72.43,6,86.07,8,100,261.224,261.224,303.789,0,0.00396577380952381,258,172.314
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,16,2026-04-01T05:45:54.272Z,2466,712,,89.7999999821186,979.4000000059605,698.4000000059605,988.4000000059605,0,44.20000001788139,85.39999997615814,45.89999997615814,13235,40145,12935,11.65,19.3,82.56,266.49,21.32,857.3,877876,100,17.44,2,575.55,77,105.81,7,72.43,6,86.07,8,100,174.982,174.982,217.28,0,0.00396577380952381,167,98.61600000000001
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,17,2026-04-01T05:46:00.311Z,3906,758.5999999940395,,90.90000000596046,1100.7000000178814,751.5999999940395,1110.7000000178814,0,35.80000001192093,97.19999998807907,48.400000005960464,13233,40143,12933,12.79,19.05,101.78,294.4,19.69,865.84,886625,104,17.35,2,575.54,77,106.12,8,72.36,6,86.07,8,80,166.533,205.599,211.5,0,0.4664657738095238,160,96.406
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,18,2026-04-01T05:46:04.946Z,2498,830.9000000059605,,101.30000001192093,1037.6000000238419,802.6000000238419,1046.7000000178814,0,31.599999994039536,194,135.7999999821186,13231,40141,12931,10.57,19.3,78.55,251.93,20.54,857.22,877792,100,17.42,2,575.52,77,105.82,7,72.39,6,86.07,8,100,352.623,352.623,417.704,0,0.00396577380952381,344,257.16700000000003
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,19,2026-04-01T05:46:09.584Z,2483,756.7000000178814,,144.59999999403954,1005.7000000178814,751.8000000119209,1015.5999999940395,0,68.60000002384186,81.5,42.400000005960464,13233,40143,12933,10.54,19.05,80.68,263.91,20.61,857.04,877604,100,17.33,2,575.52,77,105.81,7,72.35,6,86.02,8,80,232.892,268.995,276.625,0,0.4664657738095238,226,150.88299999999998
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,20,2026-04-01T05:46:14.375Z,2660,1010.5,,92.59999999403954,1199.5,1007.2999999821186,1208.2999999821186,0,33.79999998211861,98.30000001192093,51.70000001788139,13235,40145,12935,10.55,19.3,74.13,262.01,19.67,857.08,877653,100,17.36,2,575.49,77,105.82,7,72.4,6,86.02,8,80,189.274,225.478,234.349,0,0.4664657738095238,184,115.561
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,21,2026-04-01T05:46:18.966Z,2451,727.2000000178814,,95,1027.0999999940395,723.8000000119209,1040.9000000059605,0,35.80000001192093,88.09999999403954,48,13231,40141,12931,11.56,19.05,81.21,273.48,19.39,857.05,877624,100,17.35,2,575.52,77,105.8,7,72.36,6,86.02,8,100,164.59,164.59,207.43,0,0.00396577380952381,160,90.429
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,22,2026-04-01T05:46:23.846Z,2728,731.5,,93.19999998807907,1245.300000011921,728,1260.9000000059605,0,30.400000005960464,100.09999999403954,51.5,13231,40141,12931,10.51,19.3,86.18,273.97,19.24,857.11,877681,100,17.41,2,575.48,77,105.81,7,72.4,6,86.02,8,100,184.283,184.283,227.804,0,0.00396577380952381,175,106.39
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,23,2026-04-01T05:46:28.429Z,2444,708.3999999761581,,134.30000001192093,1024.2999999821186,704.5,1038.8999999761581,0,34.19999998807907,118,60.900000005960464,13235,40145,12935,10.45,19.05,80.33,277.7,19.3,857.17,877746,100,17.41,2,575.54,77,105.81,7,72.36,6,86.06,8,100,174.993,174.993,320.755,0,0.00396577380952381,169,101.568
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,24,2026-04-01T05:46:33.040Z,2460,724.5,,86.2999999821186,972.7000000178814,711.8000000119209,982,0,32.70000001788139,97.89999997615814,55.69999998807907,13233,40143,12933,11.61,19.05,86.22,269.67,20.39,857.21,877779,100,17.41,2,575.48,77,105.81,7,72.43,6,86.08,8,100,178.48,178.48,220.134,0,0.00396577380952381,175,101.31
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),true,25,2026-04-01T05:46:37.679Z,2493,761.8000000119209,,96.5,1129,758.9000000059605,1145.0999999940395,0,32.400000005960464,101.7000000178814,57.900000005960464,13231,40141,12931,11.54,19.05,83.09,265.86,19.32,857.17,877740,100,17.35,2,575.5,77,105.8,7,72.43,6,86.08,8,100,168.344,168.344,212.801,0,0.00396577380952381,158,98.062
