runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,18928,18.48,0
1,Script,76,580169,566.57,0
1,Stylesheet,4,62603,61.14,0
1,Font,2,45526,44.46,0
1,Other,4,32668,31.9,0
1,Image,1,1047,1.02,0
1,Fetch,7,108177,105.64,0
1,XHR,1,423,0.41,0
1,Ping,2,8605,8.4,0
1,Preflight,1,0,0,0
2,Document,2,18841,18.4,0
2,Script,76,580097,566.5,0
2,Stylesheet,4,62640,61.17,0
2,Font,2,45526,44.46,0
2,Other,4,32653,31.89,0
2,Image,1,1048,1.02,0
2,Fetch,6,107927,105.4,0
2,XHR,1,423,0.41,0
3,Document,2,18841,18.4,0
3,Script,76,580196,566.6,0
3,Stylesheet,4,62672,61.2,0
3,Font,2,45526,44.46,0
3,Other,4,32665,31.9,0
3,Image,1,1048,1.02,0
3,Fetch,6,107929,105.4,0
3,XHR,1,423,0.41,0
4,Document,2,18936,18.49,0
4,Script,76,580232,566.63,0
4,Stylesheet,4,62647,61.18,0
4,Font,2,45526,44.46,0
4,Other,4,32664,31.9,0
4,Image,1,1049,1.02,0
4,Fetch,6,107942,105.41,0
4,XHR,1,423,0.41,0
5,Document,2,18876,18.43,0
5,Script,76,580212,566.61,0
5,Stylesheet,4,62686,61.22,0
5,Font,2,45526,44.46,0
5,Other,4,32653,31.89,0
5,Image,1,1048,1.02,0
5,Fetch,6,107981,105.45,0
5,XHR,1,423,0.41,0
6,Document,2,18865,18.42,0
6,Script,76,580245,566.65,0
6,Stylesheet,4,62681,61.21,0
6,Font,2,45526,44.46,0
6,Other,4,32665,31.9,0
6,Image,1,1048,1.02,0
6,Fetch,7,108196,105.66,0
6,XHR,1,423,0.41,0
6,Ping,2,8609,8.41,0
6,Preflight,1,0,0,0
7,Document,2,18919,18.48,0
7,Script,76,580263,566.66,0
7,Stylesheet,4,62671,61.2,0
7,Font,2,45526,44.46,0
7,Other,4,32649,31.88,0
7,Image,1,1048,1.02,0
