runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T05:38:01.763Z,838.21,100,18.43,566.72,106.06,61.2,77.38,1283,40.08,94,2,92,40.08,18.5,2.48,19.1,0,0,164.39999997615814,274.90000000596046,14453,2.1,95.2
2,2026-04-01T05:38:08.424Z,829.4,96,18.42,566.63,105.81,61.13,77.39,1346,44.92,95,2,93,44.92,18.45,3.16,19.11,0,0,225.30000001192093,337.09999999403954,14458,2.1,94.6
3,2026-04-01T05:38:16.768Z,838.16,100,18.51,566.64,106.06,61.15,77.38,1324,39.34,94,2,92,39.34,18.45,1.79,19.1,0,0,234.39999997615814,316.19999998807907,14457,2.1,95.3
4,2026-04-01T05:38:24.810Z,838.06,100,18.42,566.6,106.06,61.18,77.39,1282,40.09,94,2,92,40.09,18.51,2.48,19.1,0,0,163.80000001192093,274.69999998807907,14460,2.1,95.2
5,2026-04-01T05:38:31.501Z,829.53,96,18.47,566.68,105.81,61.17,77.39,1347,44.3,95,2,93,44.3,18.51,2.48,19.11,0,0,224.80000001192093,339.19999998807907,14459,2.1,94.7
6,2026-04-01T05:38:39.395Z,838.06,100,18.44,566.66,106.06,61.13,77.37,1283,40.07,94,2,92,40.07,18.5,2.48,19.1,0,0,166.59999999403954,275,14453,2.1,95.2
7,2026-04-01T05:38:47.318Z,838.13,100,18.42,566.68,106.07,61.17,77.38,1276,39.4,94,2,92,39.4,18.5,1.79,19.11,0,0,186.2999999821186,268.40000000596046,14454,2.1,95.3
8,2026-04-01T05:38:55.231Z,838.09,100,18.42,566.6,106.07,61.2,77.39,1333,40.04,94,2,92,40.04,18.46,2.48,19.1,0,0,217,324.90000000596046,14456,2.1,95.2
9,2026-04-01T05:39:01.903Z,829.39,96,18.44,566.62,105.81,61.14,77.39,1338,44.28,95,2,93,44.28,18.5,2.48,19.1,0,0,220.09999999403954,330.69999998807907,14453,2.1,94.7
10,2026-04-01T05:39:08.581Z,829.43,96,18.45,566.66,105.82,61.13,77.38,1449,39.35,94,2,92,39.35,18.45,1.79,19.11,0,0,178.59999999403954,328.19999998807907,14454,2.1,95.3
11,2026-04-01T05:39:16.411Z,838.1,100,18.46,566.65,106.06,61.14,77.38,1352,39.34,94,2,92,39.34,18.45,1.79,19.1,0,0,233.39999997615814,316.09999999403954,14452,2.1,95.3
12,2026-04-01T05:39:23.031Z,829.44,96,18.46,566.61,105.81,61.17,77.38,1406,44.2,95,2,93,44.2,18.42,2.48,19.1,0,0,181.89999997615814,286.09999999403954,14453,2.1,94.7
13,2026-04-01T05:39:29.530Z,829.31,96,18.41,566.59,105.8,61.12,77.38,1337,44.18,95,2,93,44.18,18.41,2.48,19.1,0,0,218.30000001192093,328,14453,2.1,94.7
14,2026-04-01T05:39:36.113Z,829.47,96,18.43,566.6,105.84,61.22,77.38,1310,43.52,95,2,93,43.52,18.42,1.79,19.1,0,0,221.69999998807907,303,14451,2.1,94.8
15,2026-04-01T05:39:44.108Z,838.07,100,18.4,566.6,106.06,61.22,77.37,1410,40.01,94,2,92,40.01,18.43,2.47,19.1,0,0,178.40000000596046,401,14456,2.1,95.2
16,2026-04-01T05:39:51.975Z,838.1,100,18.42,566.64,106.06,61.14,77.43,1358,39.87,94,2,92,39.87,18.44,2.33,19.1,0,0,169.30000001192093,349,14454,2.1,95.2
17,2026-04-01T05:39:59.909Z,838,100,18.41,566.61,106.08,61.12,77.38,1304,39.33,94,2,92,39.33,18.44,1.79,19.1,0,0,214.30000001192093,296.90000000596046,14449,2.1,95.3
18,2026-04-01T05:40:06.492Z,829.48,96,18.41,566.63,105.82,61.18,77.44,1256,43.51,95,2,93,43.51,18.41,1.79,19.1,0,0,167.90000000596046,248.5,14457,2.1,94.8
19,2026-04-01T05:40:13.181Z,829.56,96,18.52,566.6,105.81,61.14,77.48,1332,43.52,95,2,93,43.52,18.42,1.79,19.1,0,0,243.2999999821186,324.5,14454,2.1,94.8
20,2026-04-01T05:40:21.030Z,838.16,100,18.44,566.58,106.07,61.17,77.48,1331,39.38,94,2,92,39.38,18.49,1.79,19.1,0,0,245.40000000596046,323.89999997615814,14454,2.1,95.3
21,2026-04-01T05:40:29.258Z,838.15,100,18.41,566.6,106.07,61.17,77.5,1350,39.32,94,2,92,39.32,18.42,1.79,19.1,0,0,260.2000000178814,341.90000000596046,14454,2.1,95.3
22,2026-04-01T05:40:35.812Z,829.44,96,18.5,566.57,105.82,61.13,77.43,1284,44.2,95,2,93,44.2,18.43,2.47,19.1,0,0,169.59999999403954,276.80000001192093,14458,2.1,94.7
23,2026-04-01T05:40:42.986Z,829.43,96,18.43,566.54,105.83,61.13,77.5,1768,43.52,95,2,93,43.52,18.43,1.79,19.1,0,0,680.2000000178814,761.1999999880791,14458,2.1,94.8
24,2026-04-01T05:40:49.371Z,829.45,96,18.42,566.56,105.81,61.16,77.49,1263,43.53,95,2,93,43.53,18.43,1.79,19.1,0,0,173.59999999403954,255.90000000596046,14452,2.1,94.8
25,2026-04-01T05:40:57.840Z,829.45,96,18.44,566.63,105.82,61.14,77.43,3218,52.7,98,2,96,52.7,18.4,2.33,19.35,0,0,179.90000000596046,342.90000000596046,14455,2,93.6
26,2026-04-01T05:41:04.410Z,829.44,96,18.41,566.59,105.8,61.2,77.44,1330,40,94,2,92,40,18.43,2.47,19.1,0,0,218.59999999403954,322.7000000178814,14452,2.1,95.2
27,2026-04-01T05:41:11.227Z,833.59,97,18.41,566.56,105.81,61.17,77.43,1378,39.84,94,2,92,39.84,18.41,2.33,19.1,0,0,269.30000001192093,372.2000000178814,14453,2.1,95.2
28,2026-04-01T05:41:17.753Z,829.46,96,18.42,566.64,105.8,61.17,77.43,1323,43.57,95,2,93,43.57,18.49,1.79,19.1,0,0,236.2000000178814,315.90000000596046,14454,2.1,94.7
29,2026-04-01T05:41:25.887Z,838.12,100,18.43,566.61,106.06,61.16,77.44,1305,39.33,94,2,92,39.33,18.43,1.79,19.11,0,0,217.80000001192093,297.39999997615814,14457,2.1,95.3
30,2026-04-01T05:41:34.056Z,838.13,100,18.46,566.59,106.06,61.18,77.43,1302,41.14,94,2,92,41.14,18.46,3.57,19.11,0,0,178.59999999403954,295.2999999821186,14457,2.1,95.1
31,2026-04-01T05:41:41.544Z,833.72,97,18.41,566.63,105.81,61.17,77.49,1451,44.15,96,2,94,44.15,18.51,2.33,19.11,0,4.2,213.30000001192093,309.40000000596046,14454,2.1,94.7
32,2026-04-01T05:41:47.924Z,829.38,96,18.42,566.58,105.83,61.17,77.38,1299,43.59,95,2,93,43.59,18.48,1.79,19.11,0,0,230.59999999403954,291,14456,2.1,94.7
33,2026-04-01T05:41:56.182Z,838.15,100,18.45,566.6,106.06,61.14,77.49,1508,40.01,94,2,92,40.01,18.42,2.49,19.1,0,0,181.90000000596046,568.7000000178814,14457,2.1,95.2
34,2026-04-01T05:42:02.790Z,829.47,96,18.42,566.59,105.82,61.15,77.49,1278,43.54,95,2,93,43.54,18.44,1.79,19.1,0,0,189.40000000596046,270.7999999821186,14454,2.1,94.8
35,2026-04-01T05:42:09.208Z,829.48,96,18.5,566.58,105.81,61.22,77.38,1294,44.23,95,2,93,44.23,18.44,2.49,19.1,0,0,178.19999998807907,285.19999998807907,14454,2.1,94.7
36,2026-04-01T05:42:17.263Z,838.35,100,18.52,566.63,106.08,61.21,77.49,1308,39.35,94,2,92,39.35,18.45,1.79,19.11,0,0,218.89999997615814,299.5,14458,2.1,95.3
37,2026-04-01T05:42:25.990Z,838.13,100,18.44,566.59,106.08,61.17,77.43,1273,39.35,94,2,92,39.35,18.45,1.79,19.11,0,0,185.09999999403954,264.80000001192093,14460,2.1,95.3
38,2026-04-01T05:42:33.060Z,829.43,96,18.44,566.57,105.81,61.17,77.43,1624,44.96,95,2,93,44.96,18.5,3.16,19.1,0,0,163,272.2999999821186,14453,2.1,94.6
39,2026-04-01T05:42:41.217Z,838.05,100,18.49,566.52,106.07,61.13,77.44,1288,40.08,94,2,92,40.08,18.5,2.48,19.11,0,0,174.5,280,14455,2.1,95.2
40,2026-04-01T05:42:47.680Z,829.57,96,18.41,566.64,105.81,61.22,77.49,1302,43.53,95,2,93,43.53,18.44,1.79,19.1,0,0,210.5,293.90000000596046,14452,2.1,94.8
41,2026-04-01T05:42:56.063Z,838.22,100,18.5,566.59,106.06,61.17,77.5,1877,40.71,94,2,92,40.71,18.45,3.16,19.1,0,0,263.09999999403954,377.5,14454,2.1,95.1
42,2026-04-01T05:43:03.927Z,838.28,100,18.5,566.59,106.07,61.21,77.5,1263,39.4,94,2,92,39.4,18.51,1.79,19.1,0,0,173.09999999403954,255.09999999403954,14454,2.1,95.3
43,2026-04-01T05:43:11.485Z,829.46,96,18.42,566.57,105.83,61.21,77.43,1318,45.14,96,2,94,45.14,18.43,3.16,19.1,0,0.25,200.2000000178814,310.5,14450,2.1,94.6
44,2026-04-01T05:43:18.184Z,829.38,96,18.41,566.52,105.81,61.14,77.5,1491,44.2,95,2,93,44.2,18.42,2.48,19.11,0,0,186.7999999821186,383.10000002384186,14453,2.1,94.7
45,2026-04-01T05:43:25.768Z,829.46,96,18.43,566.62,105.82,61.15,77.44,1291,44.23,95,2,93,44.23,18.45,2.48,19.11,0,0,163.09999999403954,282.69999998807907,14458,2.1,94.7
46,2026-04-01T05:43:33.562Z,838.1,100,18.49,566.5,106.06,61.16,77.48,1271,39.38,94,2,92,39.38,18.5,1.79,19.1,0,0,181.19999998807907,263.59999999403954,14453,2.1,95.3
47,2026-04-01T05:43:41.710Z,838.04,100,18.4,566.5,106.07,61.22,77.44,1441,39.4,94,2,92,39.4,18.51,1.79,19.1,0,0,218.19999998807907,299.80000001192093,14454,2.1,95.3
48,2026-04-01T05:43:50.497Z,837.96,100,18.47,566.51,106.05,61.13,77.38,1611,40.68,94,2,92,40.68,18.42,3.16,19.1,0,0,609.2000000178814,714,14453,2.1,95.1
49,2026-04-01T05:43:57.059Z,829.39,96,18.41,566.61,105.82,61.17,77.39,1292,44.19,95,2,93,44.19,18.42,2.48,19.1,0,0,190.2999999821186,284.5,14455,2.1,94.7
50,2026-04-01T05:44:03.919Z,829.44,96,18.45,566.57,105.8,61.13,77.49,1294,44.29,95,2,93,44.29,18.52,2.47,19.1,0,0,174.09999999403954,287.2999999821186,14454,2.1,94.7
