runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,15302,14.94,0
1,Stylesheet,4,26526,25.9,0
1,Script,100,773857,755.72,0
1,Font,2,45524,44.46,0
1,Fetch,11,239608,233.99,0
1,Other,2,10493,10.25,0
1,Image,7,143304,139.95,0
1,XHR,2,2131,2.08,0
1,Preflight,1,0,0,0
2,Document,2,15372,15.01,0
2,Stylesheet,4,26516,25.89,0
2,Script,100,773774,755.64,0
2,Font,2,45525,44.46,0
2,Fetch,11,239834,234.21,0
2,Other,2,10492,10.25,0
2,Image,7,53559,52.3,0
2,XHR,2,2140,2.09,0
2,Preflight,1,0,0,0
3,Document,2,15310,14.95,0
3,Stylesheet,4,26514,25.89,0
3,Script,100,773800,755.66,0
3,Font,2,45525,44.46,0
3,Fetch,11,240092,234.46,0
3,Other,2,10495,10.25,0
3,Image,5,126947,123.97,0
3,XHR,2,2131,2.08,0
3,Preflight,1,0,0,0
4,Document,2,15294,14.94,0
4,Stylesheet,4,26501,25.88,0
4,Script,100,773818,755.68,0
4,Font,2,45526,44.46,0
4,Fetch,11,240090,234.46,0
4,Other,2,10490,10.24,0
4,Image,5,95543,93.3,0
4,XHR,2,2131,2.08,0
4,Preflight,1,0,0,0
5,Document,2,15313,14.95,0
5,Script,100,773783,755.65,0
5,Stylesheet,4,26525,25.9,0
5,Font,2,45525,44.46,0
5,Fetch,11,240077,234.45,0
5,Other,2,10492,10.25,0
5,Image,12,171787,167.76,0
5,XHR,2,2131,2.08,0
5,Preflight,1,0,0,0
6,Document,2,15372,15.01,0
6,Stylesheet,4,26528,25.91,0
6,Script,100,773665,755.53,0
6,Font,2,45526,44.46,0
6,Fetch,11,240124,234.5,0
6,Other,2,10493,10.25,0
6,Image,13,311396,304.1,0
6,XHR,2,2131,2.08,0
6,Preflight,1,0,0,0
7,Document,2,15312,14.95,0
7,Stylesheet,4,26525,25.9,0
7,Script,100,773901,755.76,0
7,Font,2,45526,44.46,0
7,Fetch,11,240084,234.46,0
7,Other,2,10490,10.24,0
7,Image,8,234022,228.54,0
7,XHR,2,2131,2.08,0
7,Preflight,1,0,0,0
8,Document,2,15283,14.92,0
8,Stylesheet,4,26514,25.89,0
8,Script,100,773753,755.62,0
8,Font,2,45526,44.46,0
8,Fetch,11,239876,234.25,0
8,Other,2,10490,10.24,0
8,Image,9,52835,51.6,0
8,XHR,2,2131,2.08,0
8,Preflight,1,0,0,0
9,Document,2,15294,14.94,0
9,Stylesheet,4,26529,25.91,0
9,Script,100,773828,755.69,0
9,Font,2,45525,44.46,0
9,Fetch,11,240467,234.83,0
9,Other,2,10496,10.25,0
9,Image,12,157136,153.45,0
9,XHR,2,2131,2.08,0
9,Preflight,1,0,0,0
10,Document,2,15294,14.94,0
10,Stylesheet,4,26513,25.89,0
10,Script,100,773761,755.63,0
10,Font,2,45527,44.46,0
10,Fetch,11,239873,234.25,0
10,Other,2,10492,10.25,0
10,Image,5,88137,86.07,0
10,XHR,2,2177,2.13,0
10,Preflight,1,0,0,0
11,Document,2,15355,15,0
11,Stylesheet,4,26503,25.88,0
11,Script,100,773814,755.68,0
11,Font,2,45525,44.46,0
11,Fetch,11,240398,234.76,0
11,Other,2,10490,10.24,0
11,Image,11,83507,81.55,0
11,XHR,2,2131,2.08,0
11,Preflight,1,0,0,0
12,Document,2,15330,14.97,0
12,Stylesheet,4,26515,25.89,0
12,Script,100,773739,755.6,0
12,Fetch,11,240679,235.04,0
12,Font,2,45526,44.46,0
12,Other,2,10496,10.25,0
12,Image,6,32830,32.06,0
12,XHR,2,2131,2.08,0
12,Preflight,1,0,0,0
13,Document,2,15339,14.98,0
13,Stylesheet,4,26513,25.89,0
13,Script,100,773732,755.6,0
13,Font,2,45526,44.46,0
13,Fetch,11,240126,234.5,0
13,Other,2,10491,10.25,0
13,Image,5,48062,46.94,0
13,XHR,2,2131,2.08,0
13,Preflight,1,0,0,0
14,Document,2,15320,14.96,0
14,Stylesheet,4,26513,25.89,0
14,Script,100,773701,755.57,0
14,Font,2,45526,44.46,0
14,Other,2,10491,10.25,0
14,Fetch,11,240139,234.51,0
14,Image,24,423203,413.28,0
14,XHR,2,2131,2.08,0
14,Preflight,1,0,0,0
15,Document,2,15284,14.93,0
15,Stylesheet,4,26516,25.89,0
15,Script,100,773877,755.74,0
15,Font,2,45526,44.46,0
15,Fetch,11,240241,234.61,0
15,Other,2,10493,10.25,0
15,Image,7,90898,88.77,0
15,XHR,2,2131,2.08,0
15,Preflight,1,0,0,0
16,Document,2,15329,14.97,0
16,Script,100,773710,755.58,0
16,Stylesheet,4,26526,25.9,0
16,Font,2,45526,44.46,0
16,Fetch,11,239981,234.36,0
16,Other,2,10491,10.25,0
16,Image,2,42405,41.41,0
16,XHR,2,2131,2.08,0
16,Preflight,1,0,0,0
17,Document,2,15284,14.93,0
17,Stylesheet,4,26502,25.88,0
17,Script,100,773913,755.77,0
17,Font,2,45526,44.46,0
17,Fetch,11,239755,234.14,0
17,Other,2,10495,10.25,0
17,Image,6,327317,319.65,0
17,XHR,2,2131,2.08,0
17,Preflight,1,0,0,0
18,Document,2,15331,14.97,0
18,Stylesheet,4,26502,25.88,0
18,Script,100,773804,755.67,0
18,Font,2,45526,44.46,0
18,Fetch,11,239917,234.29,0
18,Other,2,10492,10.25,0
18,Image,9,198232,193.59,0
18,XHR,2,2131,2.08,0
18,Preflight,1,0,0,0
19,Document,2,15320,14.96,0
19,Stylesheet,4,26502,25.88,0
19,Script,100,773807,755.67,0
19,Font,2,45527,44.46,0
19,Fetch,11,239801,234.18,0
19,Other,2,10490,10.24,0
19,Image,4,22032,21.52,0
19,XHR,2,2131,2.08,0
19,Preflight,1,0,0,0
20,Document,2,15332,14.97,0
20,Stylesheet,4,26527,25.91,0
20,Script,100,773745,755.61,0
20,Font,2,45526,44.46,0
20,Other,2,10493,10.25,0
20,Fetch,11,240244,234.61,0
20,Image,5,32450,31.69,0
20,XHR,2,2131,2.08,0
20,Preflight,1,0,0,0
21,Document,2,15332,14.97,0
21,Script,100,773888,755.75,0
21,Stylesheet,4,26530,25.91,0
21,Font,2,45526,44.46,0
21,Fetch,11,239982,234.36,0
21,Other,2,10492,10.25,0
21,Image,7,61131,59.7,0
21,XHR,2,2131,2.08,0
21,Preflight,1,0,0,0
22,Document,2,15329,14.97,0
22,Stylesheet,4,26504,25.88,0
22,Script,100,773797,755.66,0
22,Font,2,45525,44.46,0
22,Fetch,11,240262,234.63,0
22,Other,2,10492,10.25,0
22,Image,9,180055,175.83,0
22,XHR,2,2177,2.13,0
22,Preflight,1,0,0,0
23,Document,2,15320,14.96,0
23,Stylesheet,4,26515,25.89,0
23,Script,100,773808,755.67,0
23,Font,2,45526,44.46,0
23,Fetch,11,240045,234.42,0
23,Other,2,10492,10.25,0
23,Image,4,87660,85.61,0
23,XHR,2,2131,2.08,0
23,Preflight,1,0,0,0
24,Document,2,15379,15.02,0
24,Stylesheet,4,26513,25.89,0
24,Script,100,773640,755.51,0
24,Font,2,45527,44.46,0
24,Fetch,11,240155,234.53,0
24,Other,2,10492,10.25,0
24,Image,11,214299,209.28,0
24,XHR,2,2131,2.08,0
24,Preflight,1,0,0,0
25,Document,2,15330,14.97,0
25,Stylesheet,4,26506,25.88,0
25,Script,100,773692,755.56,0
25,Font,2,45525,44.46,0
25,Fetch,11,240440,234.8,0
25,Other,2,10493,10.25,0
25,Image,4,107846,105.32,0
25,XHR,2,2131,2.08,0
25,Preflight,1,0,0,0
26,Document,2,15355,15,0
26,Stylesheet,4,26514,25.89,0
26,Script,100,773802,755.67,0
26,Font,2,45526,44.46,0
26,Fetch,11,239806,234.19,0
26,Other,2,10491,10.25,0
26,Image,5,150288,146.77,0
26,XHR,2,2132,2.08,0
26,Preflight,1,0,0,0
27,Document,2,15329,14.97,0
27,Stylesheet,4,26515,25.89,0
27,Script,100,773806,755.67,0
27,Font,2,45525,44.46,0
27,Fetch,11,239956,234.33,0
27,Other,2,10489,10.24,0
27,Image,7,65869,64.33,0
27,XHR,2,2131,2.08,0
27,Preflight,1,0,0,0
28,Document,2,15381,15.02,0
28,Stylesheet,4,26527,25.91,0
28,Script,100,773773,755.64,0
28,Font,2,45526,44.46,0
28,Fetch,11,240024,234.4,0
28,Other,2,10491,10.25,0
28,Image,8,147647,144.19,0
28,XHR,2,2154,2.1,0
28,Preflight,1,0,0,0
29,Document,2,15380,15.02,0
29,Stylesheet,4,26513,25.89,0
29,Script,100,773886,755.75,0
29,Font,2,45526,44.46,0
29,Fetch,11,240576,234.94,0
29,Other,2,10490,10.24,0
29,Image,3,36556,35.7,0
29,XHR,2,2131,2.08,0
29,Preflight,1,0,0,0
30,Document,2,15303,14.94,0
30,Stylesheet,4,26514,25.89,0
30,Script,100,773650,755.52,0
30,Font,2,45526,44.46,0
30,Fetch,11,240542,234.9,0
30,Other,2,10490,10.24,0
30,Image,15,219153,214.02,0
30,XHR,2,2131,2.08,0
30,Preflight,1,0,0,0
31,Document,2,15398,15.04,0
31,Stylesheet,4,26502,25.88,0
31,Script,100,773834,755.7,0
31,Font,2,45526,44.46,0
31,Fetch,11,240169,234.54,0
31,Other,2,10492,10.25,0
31,Image,6,218155,213.04,0
31,XHR,2,2131,2.08,0
31,Preflight,1,0,0,0
32,Document,2,15320,14.96,0
32,Stylesheet,4,26526,25.9,0
32,Script,100,773798,755.66,0
32,Fetch,11,239741,234.12,0
32,Font,2,45526,44.46,0
32,Other,2,10493,10.25,0
32,Image,3,75860,74.08,0
32,XHR,2,2154,2.1,0
32,Preflight,1,0,0,0
33,Document,2,15339,14.98,0
33,Stylesheet,4,26528,25.91,0
33,Script,100,773769,755.63,0
33,Font,2,45526,44.46,0
33,Fetch,11,240150,234.52,0
33,Other,2,10491,10.25,0
33,Image,9,54543,53.26,0
33,XHR,2,2131,2.08,0
33,Preflight,1,0,0,0
34,Document,2,15330,14.97,0
34,Script,100,773864,755.73,0
34,Stylesheet,4,26502,25.88,0
34,Fetch,11,240570,234.93,0
34,Font,2,45526,44.46,0
34,Other,2,10491,10.25,0
34,Image,14,349111,340.93,0
34,XHR,2,2154,2.1,0
34,Preflight,1,0,0,0
35,Document,2,15331,14.97,0
35,Stylesheet,4,26502,25.88,0
35,Script,100,773739,755.6,0
35,Font,2,45526,44.46,0
35,Fetch,11,239850,234.23,0
35,Other,2,10492,10.25,0
35,Image,9,132788,129.68,0
35,XHR,2,2154,2.1,0
35,Preflight,1,0,0,0
36,Document,2,15313,14.95,0
36,Stylesheet,4,26526,25.9,0
36,Script,100,773783,755.65,0
36,Font,2,45525,44.46,0
36,Fetch,11,240300,234.67,0
36,Other,2,10489,10.24,0
36,Image,9,175781,171.66,0
36,XHR,2,2131,2.08,0
36,Preflight,1,0,0,0
37,Document,2,15330,14.97,0
37,Stylesheet,4,26503,25.88,0
37,Script,100,773841,755.7,0
37,Font,2,45526,44.46,0
37,Fetch,11,240404,234.77,0
37,Other,2,10493,10.25,0
37,Image,5,73071,71.36,0
37,XHR,2,2154,2.1,0
37,Preflight,1,0,0,0
38,Document,2,15285,14.93,0
38,Stylesheet,4,26517,25.9,0
38,Script,100,773901,755.76,0
38,Font,2,45525,44.46,0
38,Fetch,11,239739,234.12,0
38,Other,2,10495,10.25,0
38,Image,8,162428,158.62,0
38,XHR,2,2131,2.08,0
38,Preflight,1,0,0,0
39,Document,2,15294,14.94,0
39,Stylesheet,4,26504,25.88,0
39,Script,100,773815,755.68,0
39,Font,2,45524,44.46,0
39,Fetch,11,240472,234.84,0
39,Other,2,10491,10.25,0
39,Image,3,18262,17.83,0
39,XHR,2,2131,2.08,0
39,Preflight,1,0,0,0
40,Document,2,15398,15.04,0
40,Stylesheet,4,26515,25.89,0
40,Script,100,773749,755.61,0
40,Font,2,45526,44.46,0
40,Fetch,11,240087,234.46,0
40,Other,2,10492,10.25,0
40,Image,8,234121,228.63,0
40,XHR,2,2131,2.08,0
40,Preflight,1,0,0,0
41,Document,2,15321,14.96,0
41,Stylesheet,4,26517,25.9,0
41,Script,100,773796,755.66,0
41,Fetch,11,240395,234.76,0
41,Font,2,45525,44.46,0
41,Other,2,10495,10.25,0
41,Image,11,126865,123.89,0
41,XHR,2,2140,2.09,0
41,Preflight,1,0,0,0
42,Document,2,15311,14.95,0
42,Stylesheet,4,26515,25.89,0
42,Script,100,773805,755.67,0
42,Fetch,11,240190,234.56,0
42,Font,2,45526,44.46,0
42,Other,2,10493,10.25,0
42,Image,10,170811,166.81,0
42,XHR,2,2131,2.08,0
42,Preflight,1,0,0,0
43,Document,2,15418,15.06,0
43,Script,100,773831,755.69,0
43,Stylesheet,4,26505,25.88,0
43,Font,2,45526,44.46,0
43,Other,2,10495,10.25,0
43,Fetch,11,240259,234.63,0
43,Image,6,76569,74.77,0
43,XHR,2,2131,2.08,0
43,Preflight,1,0,0,0
44,Document,2,15399,15.04,0
44,Stylesheet,4,26503,25.88,0
44,Script,100,773701,755.57,0
44,Font,2,45526,44.46,0
44,Fetch,11,240555,234.92,0
44,Other,2,10491,10.25,0
44,Image,18,122713,119.84,0
44,XHR,2,2154,2.1,0
44,Preflight,1,0,0,0
45,Document,2,15329,14.97,0
45,Stylesheet,4,26527,25.91,0
45,Script,100,773794,755.66,0
45,Font,2,45526,44.46,0
45,Fetch,11,240720,235.08,0
45,Other,2,10492,10.25,0
45,Image,12,139035,135.78,0
45,XHR,2,2131,2.08,0
45,Preflight,1,0,0,0
46,Document,2,15329,14.97,0
46,Stylesheet,4,26502,25.88,0
46,Script,100,773678,755.54,0
46,Font,2,45526,44.46,0
46,Fetch,11,240092,234.46,0
46,Other,2,10492,10.25,0
46,Image,10,48381,47.25,0
46,XHR,2,2177,2.13,0
46,Preflight,1,0,0,0
47,Document,2,15330,14.97,0
47,Stylesheet,4,26516,25.89,0
47,Script,100,773687,755.55,0
47,Font,2,45526,44.46,0
47,Fetch,11,240149,234.52,0
47,Other,2,10493,10.25,0
47,Image,8,81305,79.4,0
47,XHR,2,2132,2.08,0
47,Preflight,1,0,0,0
48,Document,2,15312,14.95,0
48,Stylesheet,4,26504,25.88,0
48,Script,100,773616,755.48,0
48,Font,2,45526,44.46,0
48,Fetch,11,240042,234.42,0
