Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 2),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
Cable (Referenz),cable,prototype_vs_baseline2,First Contentful Paint,H1/H2,101.37,180.52,-79.15,-43.8,380.0,0.000000,Ja,0.696,groß,-87.68,-62.65,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Largest Contentful Paint,H1,101.37,192.36,-90.98,-47.3,349.0,0.000000,Ja,0.721,groß,-112.31,-69.84,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Time to Interactive,H2,115.28,235.84,-120.56,-51.1,494.0,0.000000,Ja,0.605,groß,-176.75,-94.01,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Total Blocking Time,H2,0.0,0.0,0.0,,1230.0,0.804534,Nein,0.016,vernachlässigbar,0.0,0.0,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Cumulative Layout Shift,H1,0.0,0.0,-0.0,-100.0,0.0,0.000000,Ja,1.0,groß,-0.0,-0.0,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Speed Index,H1,47.0,175.0,-128.0,-73.1,92.0,0.000000,Ja,0.926,groß,-137.5,-124.0,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,JS-Ausführungszeit,H2,114.8,82.68,32.12,38.9,2412.0,0.000000,Ja,-0.93,groß,28.46,35.58,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,JS Heap (Used),H2,13.33,11.62,1.71,14.7,2500.0,0.000000,Ja,-1.0,groß,1.6,1.86,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Payload (gesamt),H1,1200.68,857.2,343.48,40.1,2500.0,0.000000,Ja,-1.0,groß,314.38,374.79,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,HTTP-Requests,H1,132.0,100.0,32.0,32.0,2500.0,0.000000,Ja,-1.0,groß,30.5,33.0,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,HTML-Dokument,H1,14.97,17.36,-2.39,-13.8,0.0,0.000000,Ja,1.0,groß,-2.4,-2.38,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,JS-Payload,H2,755.66,575.52,180.14,31.3,2500.0,0.000000,Ja,-1.0,groß,180.1,180.15,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,API-Payload (Fetch+XHR),H1,236.58,105.82,130.77,123.6,2500.0,0.000000,Ja,-1.0,groß,130.7,130.83,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,CSS-Payload,H1,25.89,72.39,-46.5,-64.2,0.0,0.000000,Ja,1.0,groß,-46.53,-46.49,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Statische Assets,H1,167.28,86.02,81.26,94.5,2400.0,0.000000,Ja,-0.92,groß,52.24,112.87,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Time to First Byte,H1,288.0,97.6,190.4,195.1,2450.0,0.000000,Ja,-0.96,groß,155.6,254.7,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,DOMContentLoaded,H2,1260.65,1098.85,161.8,14.7,1878.0,0.000015,Ja,-0.502,groß,89.4,252.25,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,DOM Interactive,H2,967.6,778.3,189.3,24.3,2196.0,0.000000,Ja,-0.757,groß,149.6,247.65,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Lighthouse Score,H1,100.0,100.0,0.0,0.0,1480.0,0.003527,Ja,-0.184,klein,0.0,0.0,Legacy (Baseline 2)
