Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 2),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Payload (gesamt),H1,91.84,38.58,53.26,138.1,2137.0,0.000000,Ja,-0.71,groß,32.39,101.62,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Netzwerk-Payload,H1,91.84,38.58,53.26,138.1,2137.0,0.000000,Ja,-0.71,groß,32.39,101.62,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Requests (gesamt),H1,125.5,96.0,29.5,30.7,2500.0,0.000000,Ja,-1.0,groß,28.5,32.0,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Netzwerk-Requests,H1,119.5,94.0,25.5,27.1,2500.0,0.000000,Ja,-1.0,groß,24.5,28.0,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Gecachte Requests,H1,6.0,2.0,4.0,200.0,2500.0,0.000000,Ja,-1.0,groß,4.0,4.0,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Cache-Hit-Rate,H1,4.8,2.1,2.7,128.6,2500.0,0.000000,Ja,-1.0,groß,2.6,2.7,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Payload-Reduktion (Cold→Warm),H1,92.2,95.5,-3.3,-3.5,641.0,0.000025,Ja,0.487,mittel,-7.4,-1.0,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Navigationszeit,H1,2813.5,1206.5,1607.0,133.2,2498.0,0.000000,Ja,-0.998,groß,1396.0,1914.5,Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache TTFB,H1,0.05,92.1,-92.05,-99.9,0.0,0.000000,Ja,1.0,groß,-102.25,-88.1,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache DOMContentLoaded,H2,66.3,194.15,-127.85,-65.9,24.0,0.000000,Ja,0.981,groß,-140.4,-111.4,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Warm HTML-Dokument,H1,0.4,17.28,-16.88,-97.7,0.0,0.000000,Ja,1.0,groß,-16.88,-16.87,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Warm JS-Payload,H2,0.68,1.79,-1.11,-62.0,425.0,0.000000,Ja,0.66,groß,-1.79,-1.1,Kestrel-Kit (Prototyp)
Cable (Referenz),cable,prototype_vs_baseline2,Warm API-Payload,H1,16.89,19.1,-2.21,-11.6,3.0,0.000000,Ja,0.998,groß,-2.33,-2.14,Kestrel-Kit (Prototyp)
