Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 1),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil,Median Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline,First Contentful Paint,H1/H2,101.37,308.18,-206.8,-67.1,195.0,0.000000,Ja,0.844,groß,-217.96,-187.78,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Largest Contentful Paint,H1,101.37,310.3,-208.93,-67.3,192.0,0.000000,Ja,0.846,groß,-221.65,-187.8,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Time to Interactive,H2,115.28,370.33,-255.05,-68.9,376.0,0.000000,Ja,0.699,groß,-281.78,-219.76,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Total Blocking Time,H2,0.0,0.0,0.0,,1348.5,0.100730,Nein,-0.079,vernachlässigbar,0.0,0.0,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Cumulative Layout Shift,H1,0.0,0.0,0.0,,1150.0,0.043295,Ja,0.08,vernachlässigbar,0.0,0.0,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Speed Index,H1,47.0,303.5,-256.5,-84.5,73.5,0.000000,Ja,0.941,groß,-265.5,-238.0,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,JS-Ausführungszeit,H2,114.8,81.56,33.24,40.8,2490.0,0.000000,Ja,-0.992,groß,28.01,36.78,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,JS Heap (Used),H2,13.33,11.54,1.8,15.6,2500.0,0.000000,Ja,-1.0,groß,1.68,3.27,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Payload (gesamt),H1,1200.68,829.5,371.18,44.7,2500.0,0.000000,Ja,-1.0,groß,342.1,402.48,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,HTTP-Requests,H1,132.0,96.0,36.0,37.5,2500.0,0.000000,Ja,-1.0,groß,34.5,37.0,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,HTML-Dokument,H1,14.97,18.43,-3.46,-18.8,0.0,0.000000,Ja,1.0,groß,-3.48,-3.45,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,JS-Payload,H2,755.66,566.6,189.05,33.4,2500.0,0.000000,Ja,-1.0,groß,189.02,189.07,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,API-Payload (Fetch+XHR),H1,236.58,105.82,130.77,123.6,2500.0,0.000000,Ja,-1.0,groß,130.7,130.83,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,CSS-Payload,H1,25.89,61.2,-35.31,-57.7,0.0,0.000000,Ja,1.0,groß,-35.32,-35.29,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Statische Assets,H1,167.28,77.38,89.9,116.2,2400.0,0.000000,Ja,-0.92,groß,60.9,121.51,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Time to First Byte,H1,288.0,236.6,51.4,21.7,1734.5,0.000848,Ja,-0.388,mittel,9.85,121.05,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,DOMContentLoaded,H2,1260.65,1186.7,73.95,6.2,1483.5,0.108216,Nein,-0.187,klein,5.85,144.2,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,DOM Interactive,H2,967.6,888.5,79.1,8.9,1695.0,0.002182,Ja,-0.356,mittel,25.5,133.95,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Lighthouse Score,H1,100.0,100.0,0.0,0.0,1275.0,0.567642,Nein,-0.02,vernachlässigbar,0.0,0.0,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline2,First Contentful Paint,H1/H2,101.37,,-79.15,-43.8,380.0,0.000000,Ja,0.696,groß,-87.68,-62.65,Kestrel-Kit (Prototyp),180.52
Cable (Referenz),cable,prototype_vs_baseline2,Largest Contentful Paint,H1,101.37,,-90.98,-47.3,349.0,0.000000,Ja,0.721,groß,-112.31,-69.84,Kestrel-Kit (Prototyp),192.36
Cable (Referenz),cable,prototype_vs_baseline2,Time to Interactive,H2,115.28,,-120.56,-51.1,494.0,0.000000,Ja,0.605,groß,-176.75,-94.01,Kestrel-Kit (Prototyp),235.84
Cable (Referenz),cable,prototype_vs_baseline2,Total Blocking Time,H2,0.0,,0.0,,1230.0,0.804534,Nein,0.016,vernachlässigbar,0.0,0.0,Legacy (Baseline 2),0.0
Cable (Referenz),cable,prototype_vs_baseline2,Cumulative Layout Shift,H1,0.0,,-0.0,-100.0,0.0,0.000000,Ja,1.0,groß,-0.0,-0.0,Kestrel-Kit (Prototyp),0.0
Cable (Referenz),cable,prototype_vs_baseline2,Speed Index,H1,47.0,,-128.0,-73.1,92.0,0.000000,Ja,0.926,groß,-137.5,-124.0,Kestrel-Kit (Prototyp),175.0
Cable (Referenz),cable,prototype_vs_baseline2,JS-Ausführungszeit,H2,114.8,,32.12,38.9,2412.0,0.000000,Ja,-0.93,groß,28.46,35.58,Legacy (Baseline 2),82.68
Cable (Referenz),cable,prototype_vs_baseline2,JS Heap (Used),H2,13.33,,1.71,14.7,2500.0,0.000000,Ja,-1.0,groß,1.6,1.86,Legacy (Baseline 2),11.62
Cable (Referenz),cable,prototype_vs_baseline2,Payload (gesamt),H1,1200.68,,343.48,40.1,2500.0,0.000000,Ja,-1.0,groß,314.38,374.79,Legacy (Baseline 2),857.2
Cable (Referenz),cable,prototype_vs_baseline2,HTTP-Requests,H1,132.0,,32.0,32.0,2500.0,0.000000,Ja,-1.0,groß,30.5,33.0,Legacy (Baseline 2),100.0
Cable (Referenz),cable,prototype_vs_baseline2,HTML-Dokument,H1,14.97,,-2.39,-13.8,0.0,0.000000,Ja,1.0,groß,-2.4,-2.38,Kestrel-Kit (Prototyp),17.36
Cable (Referenz),cable,prototype_vs_baseline2,JS-Payload,H2,755.66,,180.14,31.3,2500.0,0.000000,Ja,-1.0,groß,180.1,180.15,Legacy (Baseline 2),575.52
Cable (Referenz),cable,prototype_vs_baseline2,API-Payload (Fetch+XHR),H1,236.58,,130.77,123.6,2500.0,0.000000,Ja,-1.0,groß,130.7,130.83,Legacy (Baseline 2),105.82
Cable (Referenz),cable,prototype_vs_baseline2,CSS-Payload,H1,25.89,,-46.5,-64.2,0.0,0.000000,Ja,1.0,groß,-46.53,-46.49,Kestrel-Kit (Prototyp),72.39
Cable (Referenz),cable,prototype_vs_baseline2,Statische Assets,H1,167.28,,81.26,94.5,2400.0,0.000000,Ja,-0.92,groß,52.24,112.87,Legacy (Baseline 2),86.02
Cable (Referenz),cable,prototype_vs_baseline2,Time to First Byte,H1,288.0,,190.4,195.1,2450.0,0.000000,Ja,-0.96,groß,155.6,254.7,Legacy (Baseline 2),97.6
Cable (Referenz),cable,prototype_vs_baseline2,DOMContentLoaded,H2,1260.65,,161.8,14.7,1878.0,0.000015,Ja,-0.502,groß,89.4,252.25,Legacy (Baseline 2),1098.85
Cable (Referenz),cable,prototype_vs_baseline2,DOM Interactive,H2,967.6,,189.3,24.3,2196.0,0.000000,Ja,-0.757,groß,149.6,247.65,Legacy (Baseline 2),778.3
Cable (Referenz),cable,prototype_vs_baseline2,Lighthouse Score,H1,100.0,,0.0,0.0,1480.0,0.003527,Ja,-0.184,klein,0.0,0.0,Legacy (Baseline 2),100.0
4G (Mobil),4g,prototype_vs_baseline,First Contentful Paint,H1/H2,99.7,286.71,-187.02,-65.2,174.0,0.000000,Ja,0.861,groß,-203.67,-129.41,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Largest Contentful Paint,H1,99.7,290.92,-191.22,-65.7,170.0,0.000000,Ja,0.864,groß,-204.85,-133.44,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Time to Interactive,H2,104.97,382.8,-277.83,-72.6,152.0,0.000000,Ja,0.878,groß,-295.47,-202.33,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Total Blocking Time,H2,0.0,0.0,0.0,,1201.5,0.329743,Nein,0.039,vernachlässigbar,0.0,0.0,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,Cumulative Layout Shift,H1,0.0,0.0,0.0,,1125.0,0.022994,Ja,0.1,vernachlässigbar,0.0,0.0,Legacy (Baseline 1),
