Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 1),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil,Median Legacy (Baseline 2)
Cable (Referenz),cable,prototype_vs_baseline,Warm-Cache Payload (gesamt),H1,91.84,40.92,50.92,124.4,2122.0,0.000000,Ja,-0.698,groß,28.78,98.9,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Warm-Cache Netzwerk-Payload,H1,91.84,40.92,50.92,124.4,2122.0,0.000000,Ja,-0.698,groß,28.78,98.9,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Warm-Cache Requests (gesamt),H1,125.5,94.0,31.5,33.5,2500.0,0.000000,Ja,-1.0,groß,30.0,34.0,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Warm-Cache Netzwerk-Requests,H1,119.5,92.0,27.5,29.9,2500.0,0.000000,Ja,-1.0,groß,26.0,30.0,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Gecachte Requests,H1,6.0,2.0,4.0,200.0,2500.0,0.000000,Ja,-1.0,groß,4.0,4.0,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Cache-Hit-Rate,H1,4.8,2.1,2.7,128.6,2500.0,0.000000,Ja,-1.0,groß,2.6,2.7,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Payload-Reduktion (Cold→Warm),H1,92.2,95.1,-2.9,-3.0,735.0,0.000373,Ja,0.412,mittel,-7.05,-0.55,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Warm-Cache Navigationszeit,H1,2813.5,1323.5,1490.0,112.6,2432.0,0.000000,Ja,-0.946,groß,1282.5,1796.5,Legacy (Baseline 1),
Cable (Referenz),cable,prototype_vs_baseline,Warm-Cache TTFB,H1,0.05,195.25,-195.2,-100.0,0.0,0.000000,Ja,1.0,groß,-218.15,-181.55,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Warm-Cache DOMContentLoaded,H2,66.3,301.4,-235.1,-78.0,0.0,0.000000,Ja,1.0,groß,-256.2,-218.3,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Warm HTML-Dokument,H1,0.4,18.45,-18.05,-97.8,0.0,0.000000,Ja,1.0,groß,-18.06,-18.03,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Warm JS-Payload,H2,0.68,2.33,-1.65,-70.8,401.0,0.000000,Ja,0.679,groß,-2.47,-1.1,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline,Warm API-Payload,H1,16.89,19.1,-2.21,-11.6,0.0,0.000000,Ja,1.0,groß,-2.33,-2.14,Kestrel-Kit (Prototyp),
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Payload (gesamt),H1,91.84,,53.26,138.1,2137.0,0.000000,Ja,-0.71,groß,32.39,101.62,Legacy (Baseline 2),38.58
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Netzwerk-Payload,H1,91.84,,53.26,138.1,2137.0,0.000000,Ja,-0.71,groß,32.39,101.62,Legacy (Baseline 2),38.58
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Requests (gesamt),H1,125.5,,29.5,30.7,2500.0,0.000000,Ja,-1.0,groß,28.5,32.0,Legacy (Baseline 2),96.0
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Netzwerk-Requests,H1,119.5,,25.5,27.1,2500.0,0.000000,Ja,-1.0,groß,24.5,28.0,Legacy (Baseline 2),94.0
Cable (Referenz),cable,prototype_vs_baseline2,Gecachte Requests,H1,6.0,,4.0,200.0,2500.0,0.000000,Ja,-1.0,groß,4.0,4.0,Kestrel-Kit (Prototyp),2.0
Cable (Referenz),cable,prototype_vs_baseline2,Cache-Hit-Rate,H1,4.8,,2.7,128.6,2500.0,0.000000,Ja,-1.0,groß,2.6,2.7,Kestrel-Kit (Prototyp),2.1
Cable (Referenz),cable,prototype_vs_baseline2,Payload-Reduktion (Cold→Warm),H1,92.2,,-3.3,-3.5,641.0,0.000025,Ja,0.487,mittel,-7.4,-1.0,Legacy (Baseline 2),95.5
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache Navigationszeit,H1,2813.5,,1607.0,133.2,2498.0,0.000000,Ja,-0.998,groß,1396.0,1914.5,Legacy (Baseline 2),1206.5
Cable (Referenz),cable,prototype_vs_baseline2,Warm-Cache TTFB,H1,0.05,,-92.05,-99.9,0.0,0.000000,Ja,1.0,groß,-102.25,-88.1,Kestrel-Kit (Prototyp),92.1
