runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,17846,17.43,0
1,Script,77,590010,576.18,0
1,Stylesheet,6,74106,72.37,0
1,Font,2,45529,44.46,0
1,Other,6,42487,41.49,0
1,Fetch,8,108514,105.97,0
1,Ping,3,12921,12.62,0
1,XHR,1,424,0.41,0
1,Preflight,2,0,0,0
2,Document,2,17791,17.37,0
2,Script,77,589951,576.12,0
2,Stylesheet,6,74107,72.37,0
2,Font,2,45529,44.46,0
2,Other,6,42498,41.5,0
2,Fetch,8,108502,105.96,0
2,Ping,3,12914,12.61,0
2,XHR,1,425,0.42,0
2,Preflight,2,0,0,0
3,Document,2,17788,17.37,0
3,Script,77,590003,576.17,0
3,Stylesheet,6,74105,72.37,0
3,Font,2,45529,44.46,0
3,Other,6,42486,41.49,0
3,Fetch,8,108494,105.95,0
3,Ping,3,12912,12.61,0
3,XHR,1,424,0.41,0
3,Preflight,2,0,0,0
4,Document,2,17790,17.37,0
4,Script,77,590036,576.21,0
4,Stylesheet,6,74102,72.37,0
4,Font,2,45529,44.46,0
4,Other,6,42493,41.5,0
4,Fetch,8,108503,105.96,0
4,Ping,3,12914,12.61,0
4,XHR,1,424,0.41,0
4,Preflight,2,0,0,0
5,Document,2,17847,17.43,0
5,Script,77,590029,576.2,0
5,Stylesheet,6,74052,72.32,0
5,Font,2,45529,44.46,0
5,Other,6,42489,41.49,0
5,Fetch,8,108508,105.96,0
5,Ping,3,12911,12.61,0
5,XHR,1,424,0.41,0
5,Preflight,2,0,0,0
6,Document,2,17797,17.38,0
6,Script,77,590010,576.18,0
6,Stylesheet,6,74105,72.37,0
6,Font,2,45529,44.46,0
6,Other,6,42490,41.49,0
6,Fetch,8,108507,105.96,0
6,Ping,3,12914,12.61,0
6,XHR,1,424,0.41,0
6,Preflight,2,0,0,0
7,Document,2,17875,17.46,0
7,Script,77,590021,576.19,0
7,Stylesheet,6,74102,72.37,0
7,Font,2,45529,44.46,0
7,Other,6,42490,41.49,0
7,Fetch,8,108498,105.96,0
7,Ping,3,12914,12.61,0
7,XHR,1,424,0.41,0
7,Preflight,2,0,0,0
8,Document,2,17780,17.36,0
8,Script,77,590008,576.18,0
8,Stylesheet,6,74049,72.31,0
8,Font,2,45529,44.46,0
8,Other,6,42490,41.49,0
8,Fetch,8,108555,106.01,0
8,Ping,3,12916,12.61,0
8,XHR,1,424,0.41,0
8,Preflight,2,0,0,0
9,Document,2,17851,17.43,0
9,Script,77,590053,576.22,0
9,Stylesheet,6,74054,72.32,0
9,Font,2,45529,44.46,0
9,Other,6,42489,41.49,0
9,Fetch,8,108558,106.01,0
9,Ping,3,12912,12.61,0
9,XHR,1,425,0.42,0
9,Preflight,2,0,0,0
10,Document,2,17814,17.4,0
10,Script,77,590020,576.19,0
10,Stylesheet,6,74103,72.37,0
10,Font,2,45529,44.46,0
10,Other,6,42486,41.49,0
10,Fetch,8,108496,105.95,0
10,Ping,3,12909,12.61,0
10,XHR,1,424,0.41,0
10,Preflight,2,0,0,0
11,Document,2,17797,17.38,0
11,Script,77,590006,576.18,0
11,Stylesheet,6,74153,72.42,0
11,Font,2,45529,44.46,0
11,Other,6,42490,41.49,0
11,Fetch,8,108511,105.97,0
11,Ping,3,12914,12.61,0
11,XHR,1,424,0.41,0
11,Preflight,2,0,0,0
12,Document,2,17870,17.45,0
12,Script,77,590011,576.18,0
12,Stylesheet,6,74153,72.42,0
12,Font,2,45529,44.46,0
12,Other,6,42480,41.48,0
12,Fetch,8,108509,105.97,0
12,Ping,3,12916,12.61,0
12,XHR,1,425,0.42,0
12,Preflight,2,0,0,0
13,Document,2,17771,17.35,0
13,Script,77,590013,576.18,0
13,Stylesheet,6,74106,72.37,0
13,Font,2,45529,44.46,0
13,Other,6,42482,41.49,0
13,Fetch,8,108511,105.97,0
13,Ping,3,12910,12.61,0
13,XHR,1,424,0.41,0
13,Preflight,2,0,0,0
14,Document,2,17769,17.35,0
14,Script,77,589985,576.16,0
14,Stylesheet,6,74205,72.47,0
14,Font,2,45529,44.46,0
14,Other,6,42494,41.5,0
14,Fetch,8,108498,105.96,0
14,Ping,3,12912,12.61,0
14,XHR,1,425,0.42,0
14,Preflight,2,0,0,0
15,Document,2,17798,17.38,0
15,Script,77,589994,576.17,0
15,Stylesheet,6,74102,72.37,0
15,Font,2,45529,44.46,0
15,Other,6,42491,41.5,0
15,Fetch,8,108501,105.96,0
15,Ping,3,12914,12.61,0
15,XHR,1,424,0.41,0
15,Preflight,2,0,0,0
16,Document,2,17788,17.37,0
16,Script,77,590016,576.19,0
16,Stylesheet,6,74203,72.46,0
16,Font,2,45529,44.46,0
16,Other,6,42492,41.5,0
16,Fetch,8,108497,105.95,0
16,Ping,3,12912,12.61,0
16,XHR,1,424,0.41,0
16,Preflight,2,0,0,0
17,Document,2,17814,17.4,0
17,Script,77,590035,576.21,0
17,Stylesheet,6,74055,72.32,0
17,Font,2,45529,44.46,0
17,Other,6,42492,41.5,0
17,Fetch,8,108500,105.96,0
17,Ping,3,12918,12.62,0
17,XHR,1,424,0.41,0
17,Preflight,2,0,0,0
18,Document,2,17807,17.39,0
18,Script,77,590024,576.2,0
18,Stylesheet,6,74109,72.37,0
18,Font,2,45529,44.46,0
18,Other,6,42490,41.49,0
18,Fetch,8,108508,105.96,0
18,Ping,3,12916,12.61,0
18,XHR,1,424,0.41,0
18,Preflight,2,0,0,0
19,Document,2,17853,17.43,0
19,Script,77,590035,576.21,0
19,Stylesheet,6,74213,72.47,0
19,Font,2,45529,44.46,0
19,Other,6,42498,41.5,0
19,Fetch,9,108762,106.21,0
19,Ping,3,12918,12.62,0
19,Preflight,3,0,0,0
19,XHR,1,424,0.41,0
20,Document,2,17875,17.46,0
20,Script,77,590021,576.19,0
20,Stylesheet,6,74153,72.42,0
20,Font,2,45529,44.46,0
20,Other,6,42490,41.49,0
20,Fetch,8,108501,105.96,0
20,Ping,3,12916,12.61,0
20,XHR,1,424,0.41,0
20,Preflight,2,0,0,0
21,Document,2,17797,17.38,0
21,Script,77,590034,576.21,0
21,Stylesheet,6,74207,72.47,0
21,Font,2,45529,44.46,0
21,Other,6,42495,41.5,0
21,Fetch,8,108502,105.96,0
21,Ping,3,12919,12.62,0
21,XHR,1,424,0.41,0
21,Preflight,2,0,0,0
22,Document,2,17772,17.36,0
22,Script,77,590022,576.19,0
22,Stylesheet,6,74158,72.42,0
22,Font,2,45529,44.46,0
22,Other,6,42490,41.49,0
22,Fetch,8,108500,105.96,0
22,Ping,3,12914,12.61,0
22,XHR,1,424,0.41,0
22,Preflight,2,0,0,0
23,Document,2,17787,17.37,0
23,Script,77,589998,576.17,0
23,Stylesheet,6,74102,72.37,0
23,Font,2,45529,44.46,0
23,Other,6,42483,41.49,0
23,Fetch,8,108504,105.96,0
23,Ping,3,12905,12.6,0
23,XHR,1,424,0.41,0
23,Preflight,2,0,0,0
24,Document,2,17783,17.37,0
24,Script,77,590018,576.19,0
24,Stylesheet,6,74200,72.46,0
24,Font,2,45530,44.46,0
24,Other,6,42490,41.49,0
24,Fetch,9,108762,106.21,0
24,Ping,4,17228,16.82,0
24,XHR,1,424,0.41,0
24,Preflight,3,0,0,0
25,Document,2,17774,17.36,0
25,Script,77,590037,576.21,0
25,Stylesheet,6,74105,72.37,0
25,Font,2,45529,44.46,0
25,Other,6,42494,41.5,0
25,Fetch,8,108506,105.96,0
25,Ping,3,12923,12.62,0
25,XHR,1,424,0.41,0
25,Preflight,2,0,0,0
26,Document,2,17865,17.45,0
26,Script,77,590022,576.19,0
26,Stylesheet,6,74209,72.47,0
26,Font,2,45529,44.46,0
26,Other,6,42490,41.49,0
26,Fetch,8,108498,105.96,0
26,Ping,3,12917,12.61,0
26,XHR,1,424,0.41,0
26,Preflight,2,0,0,0
27,Document,2,17782,17.37,0
27,Script,77,589999,576.17,0
27,Stylesheet,6,74048,72.31,0
27,Font,2,45529,44.46,0
27,Other,6,42483,41.49,0
27,Fetch,9,108767,106.22,0
27,Ping,4,17221,16.82,0
27,XHR,1,424,0.41,0
27,Preflight,3,0,0,0
28,Document,2,17816,17.4,0
28,Script,77,590005,576.18,0
