scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,1,2026-04-01T10:14:16.822Z,23653,7702.5999999940395,,98.40000000596046,15540.800000011921,7691.300000011921,15552.800000011921,0,107.90000000596046,93.5,49,13252,40182,12952,10.51,13.8,150.07,470.48,21.24,870.93,891837,107,17.43,2,576.18,77,106.38,9,72.37,6,85.95,8,77,577.933,1184.139,1190.232,0,0.4664657738095238,589,163.76999999999998
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,2,2026-04-01T10:14:42.964Z,23999,7601.300000011921,,93.69999998807907,15396.300000011921,7589.5,15409,0,37,93.90000000596046,49.599999994039536,13252,40182,12952,10.5,13.55,139.21,458.27,20.81,870.82,891717,107,17.37,2,576.12,77,106.37,9,72.37,6,85.96,8,80,511.052,642.581,637.548,0,0.4625,512,256.58
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,3,2026-04-01T10:15:09.669Z,24563,7673.5999999940395,,106.39999997615814,15484.09999999404,7661.300000011921,15497.300000011921,0,79.09999999403954,92,49.69999998807907,13250,40180,12950,10.49,13.8,156.59,480.96,21.71,870.84,891741,107,17.37,2,576.17,77,106.37,9,72.37,6,85.95,8,80,449.037,618.581,612.12,0,0.4625,450,86.01700000000001
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,4,2026-04-01T10:15:35.927Z,24116,7704.300000011921,,100.2999999821186,15513.800000011921,7691,15526.200000017881,0,109.59999999403954,96,51.599999994039536,13250,40180,12950,10.48,13.3,156.81,485.63,21.18,870.89,891791,107,17.37,2,576.21,77,106.37,9,72.37,6,85.96,8,79,445.211,767.187,756.336,0,0.4664657738095238,450,90.811
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,5,2026-04-01T10:16:02.096Z,24032,7672.5,,105.2000000178814,15453.59999999404,7661.300000011921,15466.09999999404,0,76.09999999403954,88.5,46.19999998807907,13250,40180,12950,10.5,13.8,164.62,494.72,21.52,870.89,891789,107,17.43,2,576.2,77,106.38,9,72.32,6,85.96,8,80,443.121,700.799,690.739,0,0.4664657738095238,446,89.82199999999999
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,6,2026-04-01T10:16:28.323Z,24087,7730.9000000059605,,99.30000001192093,15507.800000011921,7719.9000000059605,15519.700000017881,0,131.7000000178814,105.5,55.80000001192093,13250,40180,12950,10.49,13.3,142.35,470.31,21.86,870.88,891776,107,17.38,2,576.18,77,106.38,9,72.37,6,85.96,8,80,450.292,722.478,728.009,0,0.4664657738095238,457,97.99499999999999
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,7,2026-04-01T10:16:54.520Z,24057,7653.9000000059605,,97.5,15457.40000000596,7661,15469.300000011921,0,94.69999998807907,92.40000000596046,51.5,13250,40180,12950,10.51,13.55,163.3,490.04,21.54,870.95,891853,107,17.46,2,576.19,77,106.37,9,72.37,6,85.96,8,80,450.942,576.175,709.078,0,0.4625,455,127.841
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,8,2026-04-01T10:17:20.793Z,24126,7723.200000017881,,80.09999999403954,15519.40000000596,7711.100000023842,15532.5,0,138.2000000178814,97.69999998807907,51.900000005960464,13250,40180,12950,10.52,13.55,155.59,488,21.23,870.85,891751,107,17.36,2,576.18,77,106.42,9,72.31,6,85.96,8,80,450.644,577.13,680.68,0,0.4625,451,90.923
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,9,2026-04-01T10:17:46.968Z,24035,7642.899999976158,,234.19999998807907,15449.699999988079,7630.0999999940395,15461.899999976158,0,66.39999997615814,87.90000000596046,47.5,13252,40182,12952,10.48,13.55,153.48,483.18,21.68,870.97,891871,107,17.43,2,576.22,77,106.43,9,72.32,6,85.96,8,80,455.63,691.188,747.45,0,0.4664657738095238,457,118.49900000000001
baseline2,Legacy (Baseline 2),worst_case,Worst-Case (Stress),true,10,2026-04-01T10:18:13.252Z,24149,7724.699999988079,,230.19999998807907,15519.59999999404,7712.5999999940395,15532,0,119.59999999403954,92.09999999403954,45.400000005960464,13250,40180,12950,10.49,13.55,162.1,483.9,21.52,870.88,891781,107,17.4,2,576.19,77,106.37,9,72.37,6,85.95,8,70,566.464,1995.916,990.46,0,0.46640582074175824,682,86.868
