runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T10:56:50.688Z,862.74,108,17.36,574.62,106.88,72.33,78.93,1366,39.21,100,4,96,39.21,17.26,2.54,19.42,0,0,100.30000001192093,293.2999999821186,13232,4,95.5
2,2026-04-01T10:57:19.019Z,862.63,108,17.35,574.58,106.88,72.28,78.92,1507,42.02,100,4,96,42.02,17.34,5.27,19.41,0,0,250.39999997615814,422.09999999403954,13237,4,95.1
3,2026-04-01T10:57:46.958Z,862.84,108,17.42,574.68,106.88,72.32,78.93,1423,40.7,100,4,96,40.7,17.37,3.9,19.42,0,0,170.40000000596046,286.59999999403954,13234,4,95.3
4,2026-04-01T10:58:14.720Z,862.7,108,17.35,574.59,106.88,72.33,78.93,1288,39.05,100,4,96,39.05,17.25,2.39,19.41,0,0,142,280.59999999403954,13237,4,95.5
5,2026-04-01T10:58:42.498Z,862.87,108,17.34,574.67,106.88,72.42,78.93,1339,39.22,100,4,96,39.22,17.28,2.54,19.41,0,0,118.10000002384186,229.09999999403954,13232,4,95.5
6,2026-04-01T10:59:10.196Z,862.84,108,17.37,574.63,106.89,72.4,78.93,1371,38.55,100,4,96,38.55,17.28,1.85,19.42,0,0,89.69999998807907,172.80000001192093,13234,4,95.5
7,2026-04-01T10:59:38.060Z,862.83,108,17.35,574.64,106.89,72.4,78.93,1353,38.54,100,4,96,38.54,17.28,1.85,19.42,0,0,145.30000001192093,229.7999999821186,13232,4,95.5
8,2026-04-01T11:00:05.922Z,862.84,108,17.35,574.66,106.88,72.4,78.93,1378,38.53,100,4,96,38.53,17.27,1.85,19.42,0,0,184.40000000596046,267.19999998807907,13232,4,95.5
9,2026-04-01T11:00:33.716Z,862.77,108,17.42,574.62,106.87,72.32,78.93,1311,40.6,100,4,96,40.6,17.28,3.91,19.41,0,0,110.09999999403954,226.2999999821186,13234,4,95.3
10,2026-04-01T11:01:01.436Z,862.67,108,17.35,574.61,106.88,72.29,78.93,1239,39.21,100,4,96,39.21,17.27,2.54,19.41,0,0,113.90000000596046,231.89999997615814,13232,4,95.5
11,2026-04-01T11:01:29.292Z,862.8,108,17.43,574.59,106.88,72.36,78.93,1428,38.55,100,4,96,38.55,17.28,1.85,19.42,0,0,244.19999998807907,323.09999999403954,13229,4,95.5
12,2026-04-01T11:01:57.090Z,862.87,108,17.38,574.67,106.9,72.36,78.94,1280,39.93,100,4,96,39.93,17.29,3.22,19.41,0,0,87.40000000596046,196.19999998807907,13232,4,95.4
13,2026-04-01T11:02:25.211Z,862.78,108,17.35,574.66,106.88,72.35,78.92,1549,40.6,100,4,96,40.6,17.27,3.92,19.42,0,0,343.7000000178814,493.59999999403954,13232,4,95.3
