runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,18865,18.42,0
1,Script,76,580418,566.81,0
1,Stylesheet,4,62601,61.13,0
1,Font,2,45529,44.46,0
1,Image,1,1049,1.02,0
1,Other,4,32665,31.9,0
1,Fetch,8,108520,105.98,0
1,Ping,4,17227,16.82,0
1,XHR,1,425,0.42,0
1,Preflight,2,0,0,0
2,Document,2,18855,18.41,0
2,Script,76,580447,566.84,0
2,Stylesheet,4,62561,61.09,0
2,Font,2,45529,44.46,0
2,Image,1,1049,1.02,0
2,Other,4,32667,31.9,0
2,Fetch,8,108518,105.97,0
2,Ping,4,17218,16.81,0
2,XHR,1,425,0.42,0
2,Preflight,2,0,0,0
3,Document,2,18973,18.53,0
3,Script,76,580479,566.87,0
3,Stylesheet,4,62605,61.14,0
3,Font,2,45529,44.46,0
3,Image,1,1049,1.02,0
3,Other,4,32666,31.9,0
3,Fetch,8,108512,105.97,0
3,Ping,4,17215,16.81,0
3,XHR,1,425,0.42,0
3,Preflight,2,0,0,0
4,Document,2,18887,18.44,0
4,Script,76,580481,566.88,0
4,Stylesheet,4,62564,61.1,0
4,Font,2,45529,44.46,0
4,Image,1,1049,1.02,0
4,Other,4,32663,31.9,0
4,Fetch,8,108520,105.98,0
4,Ping,4,17231,16.83,0
4,XHR,1,425,0.42,0
4,Preflight,2,0,0,0
5,Document,2,18906,18.46,0
5,Script,76,580409,566.81,0
5,Stylesheet,4,62564,61.1,0
5,Font,2,45529,44.46,0
5,Image,1,1049,1.02,0
5,Other,4,32668,31.9,0
5,Fetch,8,108527,105.98,0
5,Ping,4,17227,16.82,0
5,XHR,1,425,0.42,0
5,Preflight,2,0,0,0
6,Document,2,18884,18.44,0
6,Script,76,580413,566.81,0
6,Stylesheet,4,62642,61.17,0
6,Font,2,45529,44.46,0
6,Image,1,1049,1.02,0
6,Other,4,32667,31.9,0
6,Fetch,8,108526,105.98,0
6,Ping,4,17220,16.82,0
6,XHR,1,425,0.42,0
6,Preflight,2,0,0,0
7,Document,2,18941,18.5,0
7,Script,76,580393,566.79,0
7,Stylesheet,4,62640,61.17,0
7,Font,2,45529,44.46,0
7,Image,1,1049,1.02,0
7,Other,4,32669,31.9,0
7,Fetch,8,108521,105.98,0
7,Ping,4,17223,16.82,0
7,XHR,1,425,0.42,0
7,Preflight,2,0,0,0
8,Document,2,18862,18.42,0
8,Script,76,580447,566.84,0
8,Stylesheet,4,62561,61.09,0
8,Font,2,45529,44.46,0
8,Image,1,1049,1.02,0
8,Other,4,32663,31.9,0
8,Fetch,8,108523,105.98,0
