scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,1,2026-04-01T09:09:17.895Z,22775,6277.799999982119,,424.2999999821186,14772.59999999404,6273.199999988079,14791.59999999404,0,53.599999994039536,94.5,49,14471,46681,14171,11.16,15.05,162.76,473.29,21.75,846.97,867299,104,18.42,2,566.81,76,106.39,9,61.13,4,77.39,7,99,722.878,889.414,1502.348,0,0.00782967032967033,709,246.672
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,2,2026-04-01T09:09:43.081Z,23050,6552,,720.4000000059605,15036.199999988079,6547.5,15054.90000000596,0,37.900000005960464,99.2999999821186,52.39999997615814,14471,46683,14171,11.14,14.8,164.24,473.05,22.03,846.94,867269,104,18.41,2,566.84,76,106.39,9,61.09,4,77.39,7,100,552.933,676.076,834.469,0,0.00782967032967033,526,249.067
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,3,2026-04-01T09:10:08.021Z,22809,6310.799999982119,,280.30000001192093,14798.199999988079,6306.0999999940395,14816.399999976158,0,48.69999998807907,123.80000001192093,64.2000000178814,14468,46681,14168,11.25,15.05,162.54,472.8,21.39,847.12,867453,104,18.53,2,566.87,76,106.38,9,61.14,4,77.39,7,100,496.892,691.824,803.968,0,0.00782967032967033,480,193.868
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,4,2026-04-01T09:10:32.887Z,22721,6256.699999988079,,351.59999999403954,14731.399999976158,6251.5,14749.799999982119,0,37.5,96.30000001192093,49.19999998807907,14474,46685,14174,11.21,15.05,173.06,480.68,22.91,847.02,867349,104,18.44,2,566.88,76,106.39,9,61.1,4,77.38,7,100,516.578,709.585,793.47,0,0.00782967032967033,501,243.764
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,5,2026-04-01T09:10:57.868Z,22846,6254.0999999940395,,284.5,14864.699999988079,6247.0999999940395,14883.199999988079,0,35.79999998211861,97.2000000178814,53.30000001192093,14468,46683,14168,11.25,15.3,166.53,484.51,22.68,846.98,867304,104,18.46,2,566.81,76,106.4,9,61.1,4,77.39,7,100,499.476,632.445,644.301,0,0.00782967032967033,474,202.31799999999998
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,6,2026-04-01T09:11:22.769Z,22750,6214.9000000059605,,330.90000000596046,14734.90000000596,6210.300000011921,14752.700000017881,0,40.20000001788139,87.59999999403954,44.80000001192093,14472,46683,14172,11.18,14.8,158.66,472.74,21.9,847.03,867355,104,18.44,2,566.81,76,106.4,9,61.17,4,77.39,7,100,494.591,636.316,630.34,0,0.00782967032967033,464,191.50900000000001
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,7,2026-04-01T09:11:47.944Z,23025,6552.9000000059605,,612.6000000238419,15030.600000023842,6548.4000000059605,15048.700000017881,0,33.10000002384186,150.19999998807907,103.30000001192093,14469,46683,14169,11.15,15.05,160.31,461.28,21.84,847.06,867390,104,18.5,2,566.79,76,106.39,9,61.17,4,77.39,7,100,495.908,658.292,843.946,0,0.00782967032967033,466,190.69299999999998
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,8,2026-04-01T09:12:13.003Z,22919,6332.100000023842,,268.80000001192093,14921.90000000596,6327.700000017881,14940.90000000596,0,40.099999994039536,189.80000001192093,140.09999999403954,14471,46681,14171,11.18,15.3,165.75,475.05,21.39,846.94,867262,104,18.42,2,566.84,76,106.39,9,61.09,4,77.38,7,100,561.136,714.561,872.951,0,0.00782967032967033,531,281.708
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,9,2026-04-01T09:12:38.782Z,23639,6280.799999982119,,338.7000000178814,14794.799999982119,6276.299999982119,14812.5,0,65.5,97.39999997615814,50.29999998211861,14471,46683,14171,11.2,14.8,163.04,483.21,21.52,846.95,867281,104,18.45,2,566.83,76,106.38,9,61.1,4,77.38,7,100,491.163,618.458,725.593,0,0.00782967032967033,464,195.45999999999998
baseline,Legacy (Baseline 1),worst_case,Worst-Case (Stress),true,10,2026-04-01T09:13:03.749Z,22810,6301.0999999940395,,220.30000001192093,14788.5,6296.5,14806.199999988079,0,44.70000001788139,147.90000000596046,100.10000002384186,14470,46685,14170,11.14,15.3,161.69,474.57,20.55,846.97,867299,104,18.44,2,566.83,76,106.38,9,61.1,4,77.39,7,100,508.589,628.071,790.392,0,0.00782967032967033,474,203.61
