runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T09:50:18.231Z,842.92,102,18.52,566.94,106.37,61.09,77.39,1881,39.49,94,2,92,39.49,18.48,1.85,19.17,0,0,789.7999999821186,873.4000000059605,14481,2.1,95.3
2,2026-04-01T09:50:45.047Z,843.09,102,18.44,567.06,106.38,61.14,77.44,1279,39.5,94,2,92,39.5,18.48,1.85,19.17,0,0,190.5,272.09999999403954,14479,2.1,95.3
3,2026-04-01T09:51:12.372Z,842.98,102,18.46,566.94,106.38,61.15,77.44,1819,41.65,94,2,92,41.65,18.57,3.92,19.17,0,0,587.6999999880791,710.1999999880791,14487,2.1,95.1
4,2026-04-01T09:51:39.211Z,842.99,102,18.44,566.94,106.38,61.18,77.44,1297,39.49,94,2,92,39.49,18.46,1.85,19.17,0,0,208.40000000596046,289.09999999403954,14483,2.1,95.3
5,2026-04-01T09:52:06.211Z,842.96,102,18.45,566.93,106.39,61.19,77.39,1488,41.38,94,2,92,41.38,18.44,3.78,19.16,0,0,271.69999998807907,481.59999999403954,14476,2.1,95.1
6,2026-04-01T09:52:33.259Z,843.07,102,18.49,567,106.38,61.2,77.39,1433,42.97,94,2,92,42.97,18.52,5.28,19.17,0,0,233.7000000178814,432.19999998807907,14479,2.1,94.9
7,2026-04-01T09:53:00.228Z,842.91,102,18.47,566.88,106.38,61.18,77.39,1288,39.51,94,2,92,39.51,18.49,1.85,19.17,0,0,202.39999997615814,280.40000000596046,14484,2.1,95.3
8,2026-04-01T09:53:27.227Z,843.13,102,18.51,567.15,106.38,61.1,77.38,1378,40.86,94,2,92,40.86,18.45,3.25,19.17,0,0,227.2000000178814,369.90000000596046,14481,2.1,95.2
9,2026-04-01T09:53:54.144Z,843.49,102,18.54,567.25,106.39,61.24,77.44,1295,39.47,94,2,92,39.47,18.44,1.85,19.17,0,0,202.19999998807907,286.40000000596046,14483,2.1,95.3
10,2026-04-01T09:54:20.973Z,843.42,102,18.47,567.26,106.39,61.25,77.44,1344,39.54,94,2,92,39.54,18.51,1.85,19.17,0,0,257.2000000178814,337.80000001192093,14478,2.1,95.3
11,2026-04-01T09:54:47.856Z,843.43,102,18.51,567.27,106.39,61.25,77.39,1329,39.46,94,2,92,39.46,18.45,1.85,19.17,0,0,238.10000002384186,322.30000001192093,14478,2.1,95.3
12,2026-04-01T09:55:14.669Z,843.38,102,18.5,567.24,106.38,61.24,77.39,1298,39.53,94,2,92,39.53,18.51,1.85,19.17,0,0,205.90000000596046,290.30000001192093,14478,2.1,95.3
13,2026-04-01T09:55:41.479Z,843.32,102,18.43,567.26,106.38,61.24,77.39,1307,39.54,94,2,92,39.54,18.52,1.85,19.17,0,0,213.19999998807907,298.19999998807907,14477,2.1,95.3
14,2026-04-01T09:56:08.310Z,843.51,102,18.59,567.28,106.39,61.24,77.39,1327,39.55,94,2,92,39.55,18.53,1.85,19.17,0,0,238.19999998807907,320.89999997615814,14482,2.1,95.3
15,2026-04-01T09:56:35.405Z,843.54,102,18.57,567.28,106.38,61.25,77.45,1303,39.55,94,2,92,39.55,18.52,1.85,19.17,0,0,211.2999999821186,295,14481,2.1,95.3
16,2026-04-01T09:57:03.561Z,847.51,103,18.45,567.23,106.38,61.25,77.39,1563,39.48,94,2,92,39.48,18.46,1.85,19.17,0,0,476.5,556.4000000059605,14483,2.1,95.3
17,2026-04-01T09:57:30.498Z,843.38,102,18.43,567.27,106.38,61.25,77.44,1353,41.4,94,2,92,41.4,18.46,3.78,19.17,0,0,226.5,345.7000000178814,14481,2.1,95.1
18,2026-04-01T09:57:57.501Z,843.39,102,18.45,567.29,106.39,61.25,77.39,1375,39.5,94,2,92,39.5,18.48,1.85,19.17,0,0,287.2000000178814,367.19999998807907,14478,2.1,95.3
19,2026-04-01T09:58:24.446Z,843.35,102,18.47,567.27,106.37,61.24,77.39,1386,40.17,94,2,92,40.17,18.48,2.54,19.16,0,0,273.7999999821186,377.40000000596046,14483,2.1,95.2
20,2026-04-01T09:58:51.263Z,843.25,102,18.46,567.27,106.37,61.2,77.33,1336,42.27,94,2,92,42.27,18.47,4.59,19.21,0,0,213.30000001192093,327.5,14475,2.1,95
21,2026-04-01T09:59:18.265Z,843.03,102,18.46,567.1,106.38,61.09,77.39,1324,40.2,94,2,92,40.2,18.5,2.54,19.17,0,0,209.09999999403954,315.7000000178814,14475,2.1,95.2
22,2026-04-01T09:59:45.100Z,843.17,102,18.51,567.15,106.38,61.14,77.38,1319,39.47,94,2,92,39.47,18.45,1.85,19.17,0,0,208,291.80000001192093,14479,2.1,95.3
23,2026-04-01T10:00:12.084Z,847.51,103,18.5,567.19,106.37,61.24,77.39,1372,39.46,94,2,92,39.46,18.44,1.85,19.16,0,0,280.39999997615814,364.30000001192093,14473,2.1,95.3
24,2026-04-01T10:00:39.016Z,843.43,102,18.49,567.25,106.38,61.24,77.44,1291,39.49,94,2,92,39.49,18.46,1.85,19.17,0,0,201.7999999821186,284.5,14475,2.1,95.3
25,2026-04-01T10:01:05.826Z,843.29,102,18.45,567.22,106.38,61.25,77.39,1333,39.43,94,2,92,39.43,18.42,1.85,19.16,0,0,243.7999999821186,325.69999998807907,14473,2.1,95.3
26,2026-04-01T10:01:33.179Z,843.25,102,18.52,567.27,106.38,61.1,77.38,1265,39.51,94,2,92,39.51,18.48,1.85,19.17,0,0,175.7000000178814,259.7999999821186,14467,2.1,95.3
27,2026-04-01T10:02:00.003Z,843.31,102,18.48,567.21,106.39,61.25,77.39,1310,39.56,94,2,92,39.56,18.54,1.85,19.17,0,0,218.69999998807907,302.7999999821186,14477,2.1,95.3
28,2026-04-01T10:02:26.927Z,843.18,102,18.52,567.2,106.39,61.09,77.38,1431,40.19,94,2,92,40.19,18.48,2.54,19.17,0,0,254.40000000596046,423.30000001192093,14477,2.1,95.2
29,2026-04-01T10:02:53.852Z,843.22,102,18.47,567.21,106.39,61.09,77.44,1357,40.81,94,2,92,40.81,18.42,3.22,19.17,0,0,234.80000001192093,350.2999999821186,14475,2.1,95.2
30,2026-04-01T10:03:20.705Z,843.18,102,18.42,567.19,106.37,61.2,77.39,1366,41.42,94,2,92,41.42,18.49,3.76,19.16,0,0,235.80000001192093,357.19999998807907,14477,2.1,95.1
31,2026-04-01T10:03:47.761Z,843.24,102,18.46,567.21,106.32,61.19,77.44,1414,41.59,94,2,92,41.59,18.53,3.91,19.16,0,0,288.2999999821186,407.2999999821186,14474,2.1,95.1
32,2026-04-01T10:04:14.692Z,843.14,102,18.43,567.18,106.33,61.2,77.38,1350,42.22,94,2,92,42.22,18.46,4.59,19.17,0,0,245,341.80000001192093,14486,2.1,95
33,2026-04-01T10:04:41.868Z,843.15,102,18.47,567.2,106.33,61.14,77.38,1507,41.52,94,2,92,41.52,18.44,3.91,19.17,0,0,287.90000000596046,414.40000000596046,14480,2.1,95.1
