Profil,ProfilKey,Metrik,Einheit,Hypothese,Kestrel-Kit (Prototyp) n,Kestrel-Kit (Prototyp) Median,Kestrel-Kit (Prototyp) IQR,Kestrel-Kit (Prototyp) Mean,Kestrel-Kit (Prototyp) SD,Kestrel-Kit (Prototyp) Min,Kestrel-Kit (Prototyp) Max,Kestrel-Kit (Prototyp) CV%,Legacy (Baseline 1) n,Legacy (Baseline 1) Median,Legacy (Baseline 1) IQR,Legacy (Baseline 1) Mean,Legacy (Baseline 1) SD,Legacy (Baseline 1) Min,Legacy (Baseline 1) Max,Legacy (Baseline 1) CV%,Legacy (Baseline 2) n,Legacy (Baseline 2) Median,Legacy (Baseline 2) IQR,Legacy (Baseline 2) Mean,Legacy (Baseline 2) SD,Legacy (Baseline 2) Min,Legacy (Baseline 2) Max,Legacy (Baseline 2) CV%
Worst-Case (Stress),worst_case,First Contentful Paint,ms,H1/H2,50,293.0,287.84,289.73,292.3,93.97,1965.06,100.9,50,510.96,34.75,533.3,61.02,482.31,755.82,11.4,50,450.47,8.46,511.23,302.22,441.92,2563.9,59.1
Worst-Case (Stress),worst_case,Largest Contentful Paint,ms,H1,50,293.0,287.84,289.73,292.3,93.97,1965.06,100.9,50,677.9,65.52,684.47,70.39,606.81,952.42,10.3,50,1291.07,595.61,1185.74,389.59,574.91,2579.69,32.9
Worst-Case (Stress),worst_case,Time to Interactive,ms,H2,50,303.16,291.8,358.16,498.21,98.93,3378.49,139.1,50,757.74,125.54,854.35,358.91,630.34,2461.05,42.0,50,757.52,175.75,964.26,578.46,568.46,2596.9,60.0
Worst-Case (Stress),worst_case,Total Blocking Time,ms,H2,50,0.0,0.0,0.53,2.13,0.0,9.91,401.6,50,0.0,0.0,0.4,1.87,0.0,9.83,472.2,50,0.0,0.0,0.49,1.9,0.0,9.34,386.6
Worst-Case (Stress),worst_case,Cumulative Layout Shift,,H1,50,0.0,0.0,0.0,0.0,0.0,0.0,,50,0.01,0.0,0.01,0.0,0.01,0.01,0.0,50,0.41,0.1,0.39,0.09,0.0,0.47,23.5
Worst-Case (Stress),worst_case,Speed Index,ms,H1,50,70.0,34.75,84.04,107.93,39.0,730.0,128.4,50,484.0,41.5,508.1,63.42,458.0,740.0,12.5,50,523.0,61.25,564.7,295.62,446.0,2557.0,52.3
Worst-Case (Stress),worst_case,JS-Ausführungszeit,ms,H2,50,202.04,15.92,204.42,14.28,170.58,244.67,7.0,50,162.65,7.54,161.96,5.16,147.62,173.06,3.2,50,156.86,11.75,161.95,16.29,139.21,200.93,10.1
Worst-Case (Stress),worst_case,JS Heap (Used),MB,H2,50,12.98,1.33,12.97,0.75,11.68,14.73,5.8,50,11.18,0.04,11.18,0.04,11.03,11.25,0.3,50,10.5,0.05,10.2,0.61,8.84,10.78,6.0
Worst-Case (Stress),worst_case,Payload (gesamt),KB,H1,50,1155.13,113.21,1185.34,108.84,1087.92,1599.24,9.2,50,847.04,0.13,847.05,0.1,846.88,847.34,0.0,50,870.89,0.13,871.32,1.42,870.28,875.42,0.2
Worst-Case (Stress),worst_case,HTTP-Requests,,H1,50,129.5,6.0,129.32,3.54,123.0,138.0,2.7,50,104.0,0.0,104.0,0.0,104.0,104.0,0.0,50,107.0,0.0,107.0,1.23,105.0,110.0,1.1
Worst-Case (Stress),worst_case,HTML-Dokument,KB,H1,50,14.98,0.03,14.99,0.03,14.93,15.06,0.2,50,18.46,0.04,18.46,0.03,18.41,18.59,0.2,50,17.39,0.06,17.4,0.03,17.35,17.46,0.2
Worst-Case (Stress),worst_case,JS-Payload,KB,H2,50,755.77,0.11,755.76,0.08,755.58,755.93,0.0,50,566.83,0.05,566.84,0.03,566.79,566.89,0.0,50,576.19,0.03,576.19,0.02,576.12,576.25,0.0
Worst-Case (Stress),worst_case,API-Payload (Fetch+XHR),KB,H1,50,236.76,0.64,235.72,2.34,230.93,237.5,1.0,50,106.38,0.05,106.37,0.03,106.33,106.44,0.0,50,106.37,0.06,106.28,0.25,105.81,106.63,0.2
Worst-Case (Stress),worst_case,CSS-Payload,KB,H1,50,25.85,0.05,25.84,0.04,25.8,25.91,0.1,50,61.14,0.08,61.15,0.04,61.09,61.21,0.1,50,72.37,0.05,72.38,0.05,72.31,72.47,0.1
Worst-Case (Stress),worst_case,Statische Assets,KB,H1,50,121.54,112.75,153.03,107.8,60.5,565.61,70.4,50,77.39,0.01,77.41,0.04,77.38,77.51,0.1,50,85.96,0.01,85.96,0.0,85.95,85.96,0.0
Worst-Case (Stress),worst_case,Time to First Byte,ms,H1,50,172.35,57.93,215.57,129.66,101.5,652.4,60.1,50,269.4,58.58,300.74,112.96,200.9,771.8,37.6,50,102.2,43.22,137.91,72.13,80.1,404.7,52.3
Worst-Case (Stress),worst_case,DOMContentLoaded,ms,H2,50,13596.1,60.72,13608.02,67.76,13507.6,13898.2,0.5,50,14801.4,123.65,14827.18,102.69,14708.6,15279.2,0.7,50,15458.15,87.73,15528.84,418.47,15373.6,18399.4,2.7
Worst-Case (Stress),worst_case,DOM Interactive,ms,H2,50,6108.55,58.68,6122.37,71.29,6027.4,6447.6,1.2,50,6297.2,75.0,6305.77,80.08,6210.3,6605.9,1.3,50,7644.3,65.33,7713.99,419.21,7571.6,10598.5,5.4
Worst-Case (Stress),worst_case,Lighthouse Score,,H1,50,100.0,0.0,99.66,2.26,84.0,100.0,2.3,50,100.0,0.0,99.84,0.42,98.0,100.0,0.4,50,79.0,2.0,78.88,2.66,70.0,84.0,3.4
