runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
1,Document,2,15390,15.03,0
1,Stylesheet,4,26423,25.8,0
1,Script,100,773862,755.72,0
1,Font,2,45526,44.46,0
1,Fetch,11,239969,234.34,0
1,Other,2,10426,10.18,0
1,Image,6,375968,367.16,0
1,Preflight,1,0,0,0
1,XHR,2,2153,2.1,0
2,Document,2,15376,15.02,0
2,Stylesheet,4,26421,25.8,0
2,Script,100,773805,755.67,0
2,Font,2,45526,44.46,0
2,Fetch,11,234512,229.02,0
2,Other,2,10427,10.18,0
2,Image,1,6003,5.86,0
2,Preflight,1,0,0,0
2,XHR,2,2199,2.15,0
3,Document,2,15322,14.96,0
3,Stylesheet,4,26469,25.85,0
3,Script,100,773750,755.62,0
3,Font,2,45526,44.46,0
3,Fetch,10,234293,228.8,0
3,Other,2,10490,10.24,0
3,Image,1,6004,5.86,0
3,XHR,2,2176,2.13,0
4,Document,2,15342,14.98,0
4,Stylesheet,4,26428,25.81,0
4,Script,100,773866,755.73,0
4,Font,2,45526,44.46,0
4,Fetch,11,240659,235.02,0
4,Other,2,10489,10.24,0
4,Image,14,107318,104.8,0
4,Preflight,1,0,0,0
4,XHR,2,2176,2.13,0
5,Document,2,15333,14.97,0
5,Stylesheet,4,26428,25.81,0
5,Script,100,773960,755.82,0
5,Font,2,45526,44.46,0
5,Fetch,11,240387,234.75,0
5,Other,2,10487,10.24,0
5,Image,10,283536,276.89,0
5,XHR,2,2199,2.15,0
5,Preflight,1,0,0,0
6,Document,2,15323,14.96,0
6,Stylesheet,4,26424,25.8,0
6,Script,100,773927,755.79,0
6,Font,2,45526,44.46,0
6,Fetch,11,240223,234.59,0
6,Other,2,10486,10.24,0
6,Image,5,68473,66.87,0
6,Preflight,1,0,0,0
6,XHR,2,2199,2.15,0
7,Document,2,15329,14.97,0
7,Stylesheet,4,26417,25.8,0
7,Script,100,773794,755.66,0
7,Font,2,45526,44.46,0
7,Fetch,10,240355,234.72,0
7,Other,2,10491,10.25,0
7,Image,5,117919,115.16,0
7,XHR,2,2199,2.15,0
8,Document,2,15357,15,0
8,Stylesheet,4,26422,25.8,0
8,Script,100,773835,755.7,0
8,Font,2,45526,44.46,0
8,Fetch,11,240980,235.33,0
8,Other,2,10485,10.24,0
8,Image,11,386622,377.56,0
8,XHR,2,2153,2.1,0
8,Preflight,1,0,0,0
9,Document,2,15335,14.98,0
9,Stylesheet,4,26466,25.85,0
9,Script,100,773946,755.81,0
9,Font,2,45527,44.46,0
9,Fetch,11,240577,234.94,0
9,Other,2,10485,10.24,0
9,Image,11,85544,83.54,0
9,XHR,2,2153,2.1,0
9,Preflight,1,0,0,0
10,Document,2,15352,14.99,0
10,Stylesheet,4,26423,25.8,0
10,Script,100,773792,755.66,0
10,Font,2,45526,44.46,0
10,Fetch,10,239692,234.07,0
10,Other,2,10490,10.24,0
10,Image,4,16932,16.54,0
10,XHR,2,2176,2.13,0
11,Document,2,15337,14.98,0
11,Stylesheet,4,26462,25.84,0
11,Script,100,774019,755.88,0
11,Font,2,45526,44.46,0
11,Fetch,11,234568,229.07,0
11,Other,2,10484,10.24,0
11,Image,1,6003,5.86,0
11,XHR,2,2153,2.1,0
11,Preflight,1,0,0,0
12,Document,2,15335,14.98,0
12,Stylesheet,4,26468,25.85,0
12,Script,100,773816,755.68,0
12,Font,2,45526,44.46,0
12,Fetch,10,240240,234.61,0
12,Other,2,10488,10.24,0
12,Image,9,57867,56.51,0
12,XHR,2,2199,2.15,0
12,Preflight,1,0,0,0
13,Document,2,15342,14.98,0
13,Stylesheet,4,26476,25.86,0
13,Script,100,773844,755.71,0
13,Font,2,45526,44.46,0
13,Fetch,10,240624,234.98,0
13,Other,2,10485,10.24,0
13,Image,6,121291,118.45,0
13,XHR,2,2176,2.13,0
13,Preflight,1,0,0,0
14,Document,2,15339,14.98,0
14,Stylesheet,4,26520,25.9,0
14,Script,100,773924,755.79,0
14,Font,2,45526,44.46,0
14,Fetch,10,239789,234.17,0
14,Other,2,10488,10.24,0
14,Image,3,13779,13.46,0
14,XHR,2,2199,2.15,0
14,Preflight,1,0,0,0
15,Document,2,15413,15.05,0
15,Stylesheet,4,26477,25.86,0
15,Script,100,773845,755.71,0
15,Font,2,45526,44.46,0
15,Fetch,10,239806,234.19,0
15,Other,2,10490,10.24,0
15,Image,5,85867,83.85,0
15,XHR,2,2199,2.15,0
16,Document,2,15335,14.98,0
16,Stylesheet,4,26423,25.8,0
16,Script,100,773921,755.78,0
16,Font,2,45526,44.46,0
16,Fetch,10,240481,234.84,0
16,Other,2,10485,10.24,0
16,Image,10,152840,149.26,0
16,XHR,2,2199,2.15,0
17,Document,2,15314,14.96,0
17,Stylesheet,4,26473,25.85,0
17,Script,100,773886,755.75,0
17,Font,2,45526,44.46,0
17,Fetch,10,240354,234.72,0
17,Other,2,10485,10.24,0
17,Image,7,154202,150.59,0
17,XHR,2,2153,2.1,0
17,Preflight,1,0,0,0
18,Document,2,15338,14.98,0
18,Script,100,774075,755.93,0
18,Stylesheet,4,26475,25.85,0
18,Font,2,45527,44.46,0
18,Fetch,10,234377,228.88,0
18,Other,2,10488,10.24,0
18,Image,1,6001,5.86,0
18,Preflight,1,0,0,0
18,XHR,2,2199,2.15,0
19,Document,2,15333,14.97,0
19,Stylesheet,4,26476,25.86,0
19,Script,100,773933,755.79,0
19,Font,2,45526,44.46,0
19,Fetch,10,240208,234.58,0
19,Other,2,10486,10.24,0
19,Image,4,48206,47.08,0
19,XHR,2,2176,2.13,0
19,Preflight,1,0,0,0
20,Document,2,15346,14.99,0
20,Stylesheet,4,26423,25.8,0
20,Script,100,774032,755.89,0
20,Font,2,45526,44.46,0
20,Fetch,11,240465,234.83,0
20,Other,2,10487,10.24,0
20,Image,9,135619,132.44,0
20,XHR,2,2199,2.15,0
20,Preflight,1,0,0,0
21,Document,2,15287,14.93,0
21,Stylesheet,4,26463,25.84,0
21,Script,100,773987,755.85,0
21,Font,2,45526,44.46,0
21,Fetch,11,240911,235.26,0
21,Other,2,10483,10.24,0
21,Image,6,94594,92.38,0
21,Preflight,1,0,0,0
21,XHR,2,2199,2.15,0
22,Document,2,15355,15,0
22,Stylesheet,4,26421,25.8,0
22,Script,100,773855,755.72,0
22,Font,2,45526,44.46,0
22,Fetch,11,240931,235.28,0
22,Other,2,10487,10.24,0
22,Image,2,16462,16.08,0
22,XHR,2,2176,2.13,0
22,Preflight,1,0,0,0
23,Document,2,15319,14.96,0
23,Stylesheet,4,26482,25.86,0
23,Script,100,773846,755.71,0
23,Font,2,45526,44.46,0
23,Fetch,11,240472,234.84,0
23,Other,2,10489,10.24,0
23,Image,6,53462,52.21,0
23,XHR,2,2153,2.1,0
23,Preflight,1,0,0,0
