scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,1,2026-04-01T07:48:22.658Z,35613,11410.799999982119,,462.69999998807907,13687.299999982119,6208.5,13691.299999982119,0,82.5,117.5,68.5,11006,31651,10706,12.06,16.8,218.19,711.81,25.65,1454.8,1489717,130,15.03,2,755.72,100,236.45,13,25.8,4,421.8,10,84,1965.06,1965.06,3378.4889999694824,9.905999969482309,0,730,221.66699999999997
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,2,2026-04-01T07:48:52.269Z,27462,11474.300000011921,,183.90000000596046,13658.40000000596,6173.4000000059605,13663.300000011921,0,78.5,119.40000000596046,49.900000005960464,11006,31651,10706,12.1,20.55,196.16,638.77,26.72,1088.15,1114269,125,15.02,2,755.67,100,231.16,13,25.8,4,60.5,5,100,100.294,100.294,103.957,0,0,44,0.22800000000000004
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,3,2026-04-01T07:49:21.577Z,27164,11262.300000011921,,103.7000000178814,13536.59999999404,6091,13541.09999999404,0,39.20000001788139,85.69999998807907,47,11006,31651,10706,13.86,21.05,195.51,627.56,25.91,1087.92,1114030,123,14.96,2,755.62,100,230.93,12,25.85,4,60.57,5,100,99.974,99.974,104.707,0,0,46,0.15400000000000003
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,4,2026-04-01T07:49:54.004Z,30285,11404.300000011921,,221.89999997615814,13592.5,6097.300000011921,13597,0,70.5,96.40000000596046,49.20000001788139,11006,31651,10706,13.84,18.55,193.63,654.95,25.94,1193.17,1221804,138,14.98,2,755.73,100,237.14,13,25.81,4,159.5,18,100,432.622,432.622,432.622,0,0,91,0.14400000000000002
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,5,2026-04-01T07:50:30.509Z,34373,11230.59999999404,,141.7999999821186,13565.799999982119,6087,13570.09999999404,0,49,89.89999997615814,44.099999994039536,11006,31651,10706,12.96,17.66,194.07,672.21,26.27,1365.09,1397856,134,14.97,2,755.82,100,236.9,13,25.81,4,331.59,14,100,96.688,96.688,99.354,0,0,43,0.15100000000000002
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,6,2026-04-01T07:51:01.897Z,29256,11342.5,,170.80000001192093,13630.90000000596,6119.700000017881,13635.600000023842,0,37.900000005960464,161.90000000596046,62.69999998807907,11006,31651,10706,12.93,17.41,202.19,647.88,25.95,1154.86,1182581,129,14.96,2,755.79,100,236.74,13,25.8,4,121.57,9,100,377.492,377.492,377.492,0,0,83,0.15300000000000002
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,7,2026-04-01T07:51:33.417Z,29388,11347.200000017881,,154.69999998807907,13628.09999999404,6142.9000000059605,13632.40000000596,0,48.80000001192093,163.2999999821186,107,11006,31651,10706,13.55,17.66,195.63,640.81,25.47,1203.15,1232030,127,14.97,2,755.66,100,236.87,12,25.8,4,169.86,9,100,316.08,316.08,339.206,0,0,72,0.15300000000000002
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,8,2026-04-01T07:52:11.999Z,36454,11347.90000000596,,175.90000000596046,13626.799999982119,6170.799999982119,13631.09999999404,0,38.29999998211861,165.40000000596046,56.69999998807907,11006,31651,10706,12.72,16.8,226.91,726.32,25.36,1466.19,1501380,135,15,2,755.7,100,237.43,13,25.8,4,432.26,15,100,321.106,321.106,321.106,0,0,73,0.14400000000000002
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,9,2026-04-01T07:52:44.506Z,30373,11408.90000000596,,198.60000002384186,13596,6108.700000017881,13600.800000011921,0,54.30000001192093,112.59999999403954,57.69999998807907,11011,31651,10711,13.8,18.91,195.17,663.21,25.49,1171.91,1200033,135,14.98,2,755.81,100,237.04,13,25.85,4,138.24,15,100,93.966,93.966,99.707,0,0,49,0.139
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,10,2026-04-01T07:53:14.061Z,27413,11224,,207.59999999403954,13568.5,6112.100000023842,13572.5,0,46,98.30000001192093,51.30000001192093,11011,31651,10711,14.56,20.8,170.58,623.47,25.63,1103.89,1130383,126,14.99,2,755.66,100,236.2,12,25.8,4,71.24,8,100,97.811,97.811,102.202,0,0,44,0.139
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,11,2026-04-01T07:53:52.287Z,36107,11408.90000000596,,176.09999999403954,13598.5,6087.100000023842,13603.200000017881,0,51.20000001788139,167.40000000596046,52.80000001192093,11011,31651,10711,11.69,13.8,227.16,722.05,25.32,1088.43,1114552,125,14.98,2,755.88,100,231.17,13,25.84,4,60.56,5,100,509.826,509.826,509.826,0,0,98,0.15100000000000002
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,12,2026-04-01T07:54:34.241Z,39816,11584.09999999404,,652.3999999761581,13898.199999988079,6447.5999999940395,13902.899999976158,0,38.30000001192093,179.69999998807907,116.69999998807907,11011,31651,10711,12.39,13.8,222.99,697.01,25.36,1144.47,1171939,132,14.98,2,755.68,100,236.76,12,25.85,4,111.21,13,100,99.559,99.559,101.407,0,0,45,0.16400000000000003
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,13,2026-04-01T07:55:16.911Z,40525,11348.09999999404,,161,13627.399999976158,6115.799999982119,13632.199999988079,0,32.79999998211861,164.5,123.7999999821186,11006,31651,10706,12.63,13.8,241.57,736.99,25.77,1206.8,1235764,129,14.98,2,755.71,100,237.11,12,25.86,4,173.15,10,100,100.623,100.623,102.858,0,0,42,0.152
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,14,2026-04-01T07:55:46.623Z,27577,11412.5,,487.10000002384186,13636.5,6116.700000017881,13641.100000023842,0,33.5,99,53.400000005960464,11011,31651,10711,12.12,20.8,205.43,643.39,26.22,1101.14,1127564,126,14.98,2,755.79,100,236.32,12,25.9,4,68.16,7,100,416.256,416.256,416.256,0,0,80,0.135
prototype,Kestrel-Kit (Prototyp),worst_case,Worst-Case (Stress),true,15,2026-04-01T07:56:17.894Z,29129,11352.299999982119,,155,13626,6112,13630.5,0,36.400000005960464,184.09999999403954,56.400000005960464,11011,31651,10711,13.33,17.05,192.43,636.89,25.08,1171.51,1199623,127,15.05,2,755.71,100,236.33,12,25.86,4,138.56,9,100,98.262,98.262,101.328,0,0,41,0.14400000000000002
