Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 2),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
Worst-Case (Stress),worst_case,prototype_vs_baseline2,First Contentful Paint,H1/H2,293.0,450.47,-157.47,-35.0,213.0,0.000000,Ja,0.83,groß,-351.12,-102.94,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Largest Contentful Paint,H1,293.0,1291.07,-998.07,-77.3,63.0,0.000000,Ja,0.95,groß,-1213.97,-921.2,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Time to Interactive,H2,303.16,757.52,-454.36,-60.0,163.0,0.000000,Ja,0.87,groß,-676.17,-373.28,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Total Blocking Time,H2,0.0,0.0,0.0,,1205.5,0.519084,Nein,0.036,vernachlässigbar,0.0,0.0,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Cumulative Layout Shift,H1,0.0,0.41,-0.41,-100.0,25.0,0.000000,Ja,0.98,groß,-0.46,-0.36,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Speed Index,H1,70.0,523.0,-453.0,-86.6,48.0,0.000000,Ja,0.962,groß,-480.0,-445.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,JS-Ausführungszeit,H2,202.04,156.86,45.18,28.8,2408.0,0.000000,Ja,-0.926,groß,39.4,49.05,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,JS Heap (Used),H2,12.98,10.5,2.48,23.6,2500.0,0.000000,Ja,-1.0,groß,2.36,2.66,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Payload (gesamt),H1,1155.13,870.89,284.24,32.6,2500.0,0.000000,Ja,-1.0,groß,266.67,311.98,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,HTTP-Requests,H1,129.5,107.0,22.5,21.0,2500.0,0.000000,Ja,-1.0,groß,21.5,23.5,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,HTML-Dokument,H1,14.98,17.39,-2.41,-13.9,0.0,0.000000,Ja,1.0,groß,-2.42,-2.39,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,JS-Payload,H2,755.77,576.19,179.58,31.2,2500.0,0.000000,Ja,-1.0,groß,179.53,179.6,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,API-Payload (Fetch+XHR),H1,236.76,106.37,130.38,122.6,2500.0,0.000000,Ja,-1.0,groß,130.22,130.57,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,CSS-Payload,H1,25.85,72.37,-46.52,-64.3,0.0,0.000000,Ja,1.0,groß,-46.56,-46.51,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Statische Assets,H1,121.54,85.96,35.58,41.4,1750.0,0.000403,Ja,-0.4,mittel,18.21,63.53,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Time to First Byte,H1,172.35,102.2,70.15,68.6,2008.0,0.000000,Ja,-0.606,groß,46.95,76.0,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,DOMContentLoaded,H2,13596.1,15458.15,-1862.05,-12.0,0.0,0.000000,Ja,1.0,groß,-1891.85,-1837.8,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,DOM Interactive,H2,6108.55,7644.3,-1535.75,-20.1,0.0,0.000000,Ja,1.0,groß,-1563.7,-1519.85,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Lighthouse Score,H1,100.0,79.0,21.0,26.6,2498.5,0.000000,Ja,-0.999,groß,20.0,21.0,Kestrel-Kit (Prototyp)
