Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 1),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
Worst-Case (Stress),worst_case,prototype_vs_baseline,First Contentful Paint,H1/H2,293.0,510.96,-217.97,-42.7,169.0,0.000000,Ja,0.865,groß,-421.79,-161.8,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Largest Contentful Paint,H1,293.0,677.9,-384.91,-56.8,104.0,0.000000,Ja,0.917,groß,-585.17,-321.96,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Time to Interactive,H2,303.16,757.74,-454.59,-60.0,157.0,0.000000,Ja,0.874,groß,-682.27,-387.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Total Blocking Time,H2,0.0,0.0,0.0,,1250.5,1.000000,Nein,-0.0,vernachlässigbar,0.0,0.0,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Cumulative Layout Shift,H1,0.0,0.01,-0.01,-100.0,0.0,0.000000,Ja,1.0,groß,-0.01,-0.01,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Speed Index,H1,70.0,484.0,-414.0,-85.5,49.0,0.000000,Ja,0.961,groß,-454.0,-402.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,JS-Ausführungszeit,H2,202.04,162.65,39.39,24.2,2498.0,0.000000,Ja,-0.998,groß,34.07,44.01,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,JS Heap (Used),H2,12.98,11.18,1.8,16.1,2500.0,0.000000,Ja,-1.0,groß,1.67,1.98,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Payload (gesamt),H1,1155.13,847.04,308.1,36.4,2500.0,0.000000,Ja,-1.0,groß,290.52,335.81,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,HTTP-Requests,H1,129.5,104.0,25.5,24.5,2500.0,0.000000,Ja,-1.0,groß,24.5,26.5,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,HTML-Dokument,H1,14.98,18.46,-3.48,-18.9,0.0,0.000000,Ja,1.0,groß,-3.49,-3.47,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,JS-Payload,H2,755.77,566.83,188.94,33.3,2500.0,0.000000,Ja,-1.0,groß,188.89,188.96,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,API-Payload (Fetch+XHR),H1,236.76,106.38,130.38,122.6,2500.0,0.000000,Ja,-1.0,groß,130.21,130.56,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,CSS-Payload,H1,25.85,61.14,-35.29,-57.7,0.0,0.000000,Ja,1.0,groß,-35.33,-35.27,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Statische Assets,H1,121.54,77.39,44.15,57.0,1800.0,0.000131,Ja,-0.44,mittel,26.78,72.1,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Time to First Byte,H1,172.35,269.4,-97.05,-36.0,407.0,0.000000,Ja,0.674,groß,-124.7,-82.15,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,DOMContentLoaded,H2,13596.1,14801.4,-1205.3,-8.1,0.0,0.000000,Ja,1.0,groß,-1238.45,-1175.4,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,DOM Interactive,H2,6108.55,6297.2,-188.65,-3.0,86.0,0.000000,Ja,0.931,groß,-211.25,-161.85,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Lighthouse Score,H1,100.0,100.0,0.0,0.0,1372.0,0.091336,Nein,-0.098,vernachlässigbar,0.0,0.0,Legacy (Baseline 1)
