runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T08:36:16.658Z,1193.96,136,14.93,755.78,237.09,25.86,160.3,2770,50.66,123,6,117,50.66,0.4,2.05,16.98,0,31.24,0,96.40000000596046,0,4.9,95.8
2,2026-04-01T08:36:53.299Z,1125.04,128,14.98,755.84,236.7,25.81,91.72,4780,46.75,123,6,117,46.75,0.4,1.37,16.98,0,28,0.09999999403953552,95.59999999403954,0,4.9,95.8
3,2026-04-01T08:37:37.905Z,1532.74,148,14.98,755.83,237.77,25.81,498.35,4020,56.26,129,6,123,56.26,0.4,0.69,16.96,0,38.21,0,65.19999998807907,0,4.7,96.3
4,2026-04-01T08:38:13.616Z,1103.43,127,14.97,755.82,236.53,25.86,70.24,4323,195.84,135,6,129,195.84,0.4,2.07,17.24,0,176.14,0.09999999403953552,103.09999999403954,0,4.4,82.3
5,2026-04-01T08:38:48.404Z,1126.2,128,14.98,755.91,237.42,25.81,92.07,2818,82.08,126,6,120,82.08,0.4,0,17.02,0,64.66,0.09999999403953552,65.80000001192093,0,4.8,92.7
6,2026-04-01T08:39:26.226Z,1247.97,141,14.93,755.86,237.14,25.81,214.23,3196,180.06,125,6,119,180.06,0.4,2.06,17.1,0,160.5,0,93.7999999821186,0,4.8,85.6
7,2026-04-01T08:40:00.902Z,1123.28,128,14.96,755.68,237.02,25.86,89.75,2866,72.84,128,6,122,72.84,0.4,0.68,17.37,0,54.39,0,146.80000001192093,0,4.7,93.5
8,2026-04-01T08:40:35.252Z,1116.09,127,14.96,755.74,236.83,25.81,82.75,2665,270.06,128,6,122,270.06,0.4,0,17.25,0,252.42,0,66.69999998807907,0,4.7,75.8
9,2026-04-01T08:41:11.823Z,1176.47,132,14.95,755.75,237.01,25.86,142.9,3410,181.15,124,6,118,181.15,0.4,0.69,16.46,0,163.6,0.09999999403953552,67.09999999403954,0,4.8,84.6
10,2026-04-01T08:41:45.148Z,1111.5,128,14.97,755.79,236.48,25.81,78.44,2293,28.5,123,6,117,28.5,0.4,1.37,16.55,0,10.18,0,90,0,4.9,97.4
11,2026-04-01T08:42:20.812Z,1150.06,128,14.96,755.65,236.88,25.86,116.7,3406,79.75,127,6,121,79.75,0.4,0,16.6,0,62.75,0,69.5,0,4.7,93.1
12,2026-04-01T08:42:57.255Z,1223.37,131,15,755.92,236.96,25.86,189.64,2533,36.78,123,6,117,36.78,0.4,0,17.45,0,18.93,0.09999999403953552,68.5,0,4.9,97
13,2026-04-01T08:43:34.283Z,1329.84,132,14.98,755.86,236.93,25.86,296.21,2430,40.52,125,6,119,40.52,0.4,1.37,17.16,0,21.59,0,102.2000000178814,0,4.8,97
14,2026-04-01T08:44:09.803Z,1136.36,130,14.97,755.68,236.52,25.81,103.39,3407,232.46,137,6,131,232.46,0.4,4.79,17.07,0,210.2,0,317.19999998807907,0,4.4,79.5
15,2026-04-01T08:44:50.512Z,1379.31,129,14.95,755.77,236.41,25.81,346.37,3749,13.43,119,6,113,13.43,0.4,2.05,10.98,0,0,0.09999999403953552,97.80000001192093,0,5,99
16,2026-04-01T08:45:26.460Z,1113.24,126,14.94,755.74,236.93,25.81,79.81,3836,12.75,119,6,113,12.75,0.4,1.38,10.98,0,0,0.10000002384185791,65.19999998807907,0,5,98.9
17,2026-04-01T08:46:01.968Z,1142.65,129,15.04,755.76,236.38,25.81,109.66,3237,55.91,125,6,119,55.91,0.4,0.69,17.01,0,37.81,0.10000002384185791,69.5,0,4.8,95.1
18,2026-04-01T08:46:36.453Z,1088.58,125,15,755.78,231.2,25.81,60.8,4019,58.06,123,6,117,58.06,0.47,2.75,16.88,0,37.96,0.09999999403953552,92.59999999403954,0,4.9,94.7
19,2026-04-01T08:47:20.693Z,1640.53,133,15.01,756.57,236.69,25.86,606.4,3151,36.55,123,6,117,36.55,0.4,2.71,17.1,0,16.34,0,68.09999999403954,0,4.9,97.8
20,2026-04-01T08:47:55.792Z,1130.71,133,15.02,755.84,237.54,25.81,96.49,2966,141.8,128,6,122,141.8,0.4,0.69,16.45,0,124.27,0,67.90000000596046,0,4.7,87.5
21,2026-04-01T08:48:32.079Z,1206.55,128,14.96,755.73,237.73,25.81,172.32,2890,89.58,127,6,121,89.58,0.4,0,16.76,0,72.43,0.09999999403953552,67.19999998807907,0,4.7,92.6
22,2026-04-01T08:49:15.041Z,1487.01,136,14.99,755.81,237.16,25.81,453.24,4020,606.32,138,6,132,606.32,0.4,1.36,17.19,0,587.37,0,92.69999998807907,0,4.3,59.2
23,2026-04-01T08:49:50.326Z,1157.45,132,14.92,755.59,236.82,25.81,124.3,2698,329.03,127,6,121,329.03,0.47,3.43,16.88,0,308.25,0.10000002384185791,104.5,0,4.7,71.6
24,2026-04-01T08:50:26.509Z,1124.13,126,15.04,755.8,236.95,25.81,90.52,4383,11.58,120,6,114,11.58,0.4,0,11.18,0,0,0,66.10000002384186,0,5,99
25,2026-04-01T08:51:01.701Z,1168.2,129,14.95,755.81,236.39,25.81,135.24,2382,54.35,125,6,119,54.35,0.4,0.7,16.69,0,36.56,0,81,0,4.8,95.3
26,2026-04-01T08:51:36.360Z,1088.55,125,14.97,755.79,231.17,25.81,60.8,3105,169.29,125,6,119,169.29,0.4,1.36,17.15,0,150.38,0.10000002384185791,185.80000001192093,0,4.8,84.4
27,2026-04-01T08:52:12.878Z,1158.89,133,14.99,755.87,237.53,25.81,124.69,4426,69.09,125,6,119,69.09,0.4,2.74,16.88,0,49.07,0.09999999403953552,120.40000000596046,0,4.8,94
28,2026-04-01T08:52:48.212Z,1088.61,125,15.06,755.77,231.17,25.81,60.8,3810,12.02,119,6,113,12.02,0.4,0.69,10.93,0,0,0,67.09999999403954,0,5,98.9
29,2026-04-01T08:53:29.406Z,1393.96,135,14.95,755.59,237.15,25.81,360.46,3640,133.32,128,6,122,133.32,0.4,1.38,17.12,0,114.42,0,68.40000000596046,0,4.7,90.4
30,2026-04-01T08:54:10.833Z,1444.51,132,15.04,755.8,236.75,25.81,411.12,4486,12.27,120,6,114,12.27,0.4,0.68,11.18,0,0,0,172.09999999403954,0,5,99.2
31,2026-04-01T08:54:48.206Z,1306.93,140,14.98,755.72,237.08,25.81,273.34,3433,103.44,131,6,125,103.44,0.4,5.49,17.43,0,80.12,0.09999999403953552,134.5,0,4.6,92.1
32,2026-04-01T08:55:23.802Z,1162.13,129,15,755.75,236.7,25.81,128.88,2851,172.5,129,6,123,172.5,0.47,2.05,17.03,0,152.95,0,98.2999999821186,0,4.7,85.2
33,2026-04-01T08:55:59.668Z,1197.04,128,14.97,755.58,236.28,25.81,164.4,2409,27.29,122,6,116,27.29,0.4,1.37,17.13,0,8.39,0,93.19999998807907,0,4.9,97.7
34,2026-04-01T08:56:34.629Z,1161.62,130,15.05,755.7,237.11,25.85,127.91,2308,51.09,123,6,117,51.09,0.4,2.06,16.96,0,31.68,0.09999999403953552,97.2999999821186,0,4.9,95.6
35,2026-04-01T08:57:08.064Z,1133.16,124,14.97,755.87,236.5,25.81,100.02,2816,109.18,127,6,121,109.18,0.47,3.43,16.6,0,88.68,0.09999999403953552,68,0,4.7,90.4
36,2026-04-01T08:57:42.734Z,1120.81,130,14.96,755.63,236.73,25.81,87.67,2836,78.98,127,6,121,78.98,0.47,3.42,17.1,0,57.99,0.09999999403953552,98.80000001192093,0,4.7,93
37,2026-04-01T08:58:38.229Z,1203.77,132,15.05,755.75,237.07,25.81,170.08,12134,78.44,127,6,121,78.44,0.4,2.06,16.68,0,59.3,0.09999999403953552,61.20000001788139,0,4.7,93.5
38,2026-04-01T08:59:33.522Z,1109.18,127,14.98,755.69,237.08,25.81,75.63,14262,12.01,120,6,114,12.01,0.4,0.69,10.93,0,0,0,98.59999999403954,0,5,98.9
39,2026-04-01T09:00:17.911Z,1134.91,130,14.95,755.86,237.17,25.81,101.12,12363,69.06,124,6,118,69.06,0.4,0.69,16.39,0,51.59,0.09999999403953552,67.60000002384186,0,4.8,93.9
40,2026-04-01T09:01:14.849Z,1274.75,131,15.07,755.77,236.62,25.85,241.44,13163,195.17,128,6,122,195.17,0.4,1.35,16.46,0,176.95,0,69.69999998807907,0,4.7,84.7
41,2026-04-01T09:02:02.165Z,1226.18,131,14.96,755.77,236.54,25.81,193.11,3437,113.8,134,6,128,113.8,0.47,2.75,17.14,0,93.45,0,141.10000002384186,0,4.5,90.7
42,2026-04-01T09:02:38.804Z,1193.7,127,15.04,755.66,236.87,25.8,160.32,3337,155.6,127,6,121,155.6,0.4,2.06,17.3,0,135.84,0.19999998807907104,138.5,0,4.7,87
43,2026-04-01T09:03:14.512Z,1153.53,131,14.95,755.62,236.84,25.81,120.32,3207,103.45,126,6,120,103.45,0.4,0.68,16.66,0,85.71,0.29999998211860657,67.7000000178814,0,4.8,91
44,2026-04-01T09:03:50.129Z,1122.95,130,14.98,755.78,236.57,25.88,89.73,3745,11.33,119,6,113,11.33,0.4,0,10.93,0,0,0,67.5,0,5,99
45,2026-04-01T09:04:26.734Z,1167.22,129,15.04,755.84,236.76,25.85,133.74,2629,53.31,125,6,119,53.31,0.4,3.42,16.72,0,32.77,0,107.40000000596046,0,4.8,95.4
46,2026-04-01T09:05:00.915Z,1124.5,130,15.01,755.74,236.68,25.85,91.23,3272,97.88,125,6,119,97.88,0.4,2.05,16.79,0,78.63,0,91.90000000596046,0,4.8,91.3
47,2026-04-01T09:05:35.066Z,1088.63,125,15.04,755.76,231.18,25.84,60.81,2589,146.38,128,6,122,146.38,0.4,0,17.44,0,128.53,0.09999999403953552,68.40000000596046,0,4.7,86.6
48,2026-04-01T09:06:09.276Z,1121.09,130,14.97,755.72,236.65,25.85,87.91,2372,17.23,125,11,114,17.23,0.4,0,16.83,0,0,0.19999998807907104,59.79999998211861,0,8.8,98.5
49,2026-04-01T09:06:48.388Z,1256.63,131,14.99,755.7,236.72,25.85,223.38,4451,82.75,123,6,117,82.75,0.4,0,16.85,0,65.51,0,67.60000002384186,0,4.9,93.4
50,2026-04-01T09:07:24.012Z,1105.41,126,15.04,755.62,236.47,25.81,72.46,4418,133.79,126,6,120,133.79,0.4,0.68,16.91,0,115.8,0,67.7000000178814,0,4.8,87.9
